month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumped hydropower (%),Batteries (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,10.62623825032195,64.09267235225593,1.458142490997527,0.8091308416119437,10.298332198794787,0.6707586459136886,0.26929459218179314,0.9562547680133076,9.72762496168808,0.24903829540362155,0.0,0.6360333271604603,0.20647927565691196,-12.307135796579121,0.0934299431744334
2,13.049837313194882,65.52877334685068,3.2214713592035604,0.7480036823326225,11.49947035714398,0.8416537746934297,0.3897188450334429,0.8458642573837011,2.9123072203076568,0.22661044105165212,0.0,0.567211205178014,0.16907819762638698,-13.350882173370726,0.0
3,18.464237639236334,53.81702192180629,9.818612892280065,0.6605337279184418,11.289290079480269,0.5394716133520565,0.15599514432359665,0.8037262689529424,3.4786027814434184,0.22101565336522785,0.0,0.5716668722673618,0.17982540557400803,-14.60865788298471,0.0
4,20.402540678642936,48.12235743667097,11.434198444063265,0.5993485187061667,14.981080973235368,0.9252582822226461,0.37140082754898146,0.8548952581716908,1.4247207096629682,0.2305888779750903,0.0,0.5449049331370912,0.1087050599628689,-14.46244218438119,0.0
5,22.885343620947808,42.94031739049278,14.171352656910432,0.8033057351430362,14.789933936668186,1.2850613999189602,0.49486863135963255,0.9205072634715817,0.9234848871101439,0.2483661163018856,0.0,0.43213365501633744,0.10532470665918768,-14.06368909440508,0.0
6,25.88740639936937,35.765046091749554,23.383702560335884,0.8411005463554794,8.640768791225868,1.6374032649605286,0.7459975054728037,0.9518253190132937,1.0742425644270346,0.2651146113376662,0.0,0.6089996418299348,0.1983927039225712,-11.98496000181949,0.0
7,25.295560918211546,37.61204927639791,23.209622796007146,0.8902983910441531,6.501056497008085,1.4655415430242498,0.6047373257315419,0.9623617859745518,2.2059174948945506,0.29348294004828096,0.0,0.736070743694355,0.22330028796363466,-10.793354665848959,0.0
8,24.65739950773013,39.3594468788132,22.94767391647176,0.9467134612546287,5.92601670588355,1.9327043248234639,0.7532230181530839,0.922403199912256,1.2847814249261944,0.3052763086635611,0.0,0.7468215882698429,0.2175396650983388,-11.28281076914054,0.0
9,25.44479508693384,35.635775966194835,21.066753809700415,1.0989973735693623,5.903328205662442,2.420051755533781,0.9593868243815099,1.1451454051135217,4.8171043057835945,0.34426477121296684,0.0,0.8944571019595395,0.2699393939541943,-4.9208413719976685,0.0
10,21.609384356136324,35.80190083043312,11.776821724854226,1.2243286085363494,6.5209009776964795,1.9217814666511428,0.9425446626268714,1.3917167144101334,17.18686008047595,0.36255930495295646,0.0,0.9702412808630867,0.29095999236334236,-3.0456214163374766,0.051372470577273815
11,14.98451991883479,53.53255738150089,5.153953938225165,1.1015959063106369,5.4191354224718635,1.0800592364162511,0.35740338436199526,1.2465328421357151,15.771989006767239,0.29341836341233263,0.0,0.7835261908859296,0.2753084086771864,-7.072354661516556,0.16998025775410797
12,14.359377981833319,39.62941610215631,4.700993849904856,1.2021058186805929,7.245873337946128,1.1989812211728892,0.46379915952465367,1.3704199502441585,28.328210585549073,0.3346174347647686,0.0,0.8448218530785087,0.32138270514473494,-0.7548087059174443,0.6249785855877956
