Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-08-2040 00:00:00,13928.91696711101,2.7355873730838303,11194.445447947923,450.62699999999995,1977.7079999999999,0.0,1618.7755,3307.398041617291,0.0,0.0,266.7635,93.3285,0,0.0,34509.70245146398
01-08-2040 01:00:00,14113.864525589433,2.3366475478424378,11194.445447947923,437.036,1529.471,0.0,1607.0255,1287.566589711214,0.0,0.0,271.535,93.044,0,0.0,32109.763040418282
01-08-2040 02:00:00,13237.2967016062,0.9281457158677281,11194.445447947923,434.89300000000003,1582.2379999999998,0.0,1591.5675,600.8064897782042,0.0,0.0,280.318,92.374,0,0.0,30533.655477921464
01-08-2040 03:00:00,12535.643070304264,4.192938979577894,11194.445447947923,432.16,1486.06,0.0,1592.4914999999999,499.14103336350854,0.0,0.0,283.2465,92.9305,0,0.0,29608.693116682804
01-08-2040 04:00:00,12468.390081715475,2.214523111544053,11194.445447947923,430.046,1457.319,0.0,1583.8585,319.08806029972584,0.0,0.0,277.41900000000004,93.52600000000001,0,0.0,29298.554782952906
01-08-2040 05:00:00,12468.961664656974,3.81028241250962,11194.445447947923,433.81,1400.7379999999998,0.0,1576.8529999999998,475.3882387190115,0.0,0.0,280.57,93.664,0,0.0,29391.066642686954
01-08-2040 06:00:00,11863.601360405039,8.312603297376757,11194.445447947923,437.816,1779.5870000000002,0.0,1576.72,2674.324043071707,0.0,0.0,281.147,90.589,0,0.0,31229.393438544466
01-08-2040 07:00:00,11369.631041666547,690.0681981185693,11194.445447947923,441.876,2187.524,0.0,1595.463,4469.210666668301,0.0,0.0,281.4485,93.7605,0,0.0,33539.70317394264
01-08-2040 08:00:00,9913.828914834645,5518.07052970624,11194.445447947923,441.695,2800.9509999999996,0.0,1604.0185000000001,3556.031414752526,0.0,0.0,271.4115,94.7965,0,0.0,36708.714051864976
01-08-2040 09:00:00,8501.76637532859,12337.336220026342,10732.187314460598,444.725,3656.672,0.0,1593.7910000000002,0.0,0.0,0.0,272.8365,91.1715,0,0.0,39705.327319284814
01-08-2040 10:00:00,7555.570917746393,18005.929188284885,6473.769895129612,442.676,4059.317,0.0,1588.4754999999998,0.0,0.0,0.0,279.4435,89.3855,0,0.0,41598.88655303625
01-08-2040 11:00:00,7355.519341367506,22102.28402200893,3618.7937829921048,437.973,4389.077,0.0,1598.1029999999998,0.0,0.0,0.0,278.7825,91.2485,0,0.0,43281.14985083839
01-08-2040 12:00:00,7360.09691119084,24662.183181033903,1911.1378470964682,433.11,4815.109,0.0,1602.326,0.0,0.0,0.0,266.34,92.265,0,0.0,44640.85367283087
01-08-2040 13:00:00,7348.756018750716,25871.858289085758,1264.0919877147708,433.17699999999996,5045.9490000000005,0.0,1619.9825,0.0,0.0,0.0,263.595,91.624,0,0.0,45469.40719956903
01-08-2040 14:00:00,7522.168886280954,26038.460445084016,1048.5920860827928,433.01599999999996,4679.492,0.0,1627.4254999999998,0.0,0.0,0.0,264.9645,90.5285,0,0.0,45203.18795001285
01-08-2040 15:00:00,8265.832637210211,25069.5984421544,1022.7555325420999,430.793,4455.414000000001,0.0,1624.408,0.0,0.0,0.0,263.807,90.441,0,0.0,44590.481293673496
01-08-2040 16:00:00,9292.817541197466,22967.959017895493,1980.9959755940108,430.95099999999996,4238.767,0.0,1627.2765,0.0,0.0,0.0,265.5685,90.1005,0,0.0,44192.37161891898
01-08-2040 17:00:00,10079.700812570174,19614.478988545437,4390.226698314576,430.981,4113.035,0.0,1638.795,0.0,0.0,0.0,273.1065,89.5715,0,0.0,43819.86420536169
01-08-2040 18:00:00,10853.187455429903,14803.500803377761,7995.838458330709,420.56699999999995,4115.354,0.0,1644.9995000000001,0.0,0.0,0.0,282.7065,90.3095,0,0.0,43288.64285988012
01-08-2040 19:00:00,11622.557719852573,8740.535463795388,11194.445447947923,429.87,4498.840999999999,0.0,1642.0539999999999,1017.9519636039622,0.0,0.0,282.302,90.355,0,0.0,42395.96110920705
01-08-2040 20:00:00,12726.117565980954,2661.2461578944603,11194.445447947923,439.61800000000005,4226.9890000000005,0.0,1649.618,5838.785384459015,0.0,0.0,282.418,91.535,0,0.0,41498.86010879883
01-08-2040 21:00:00,14669.764506809192,104.92931566757262,11194.445447947923,441.03,3905.078,0.0,1659.7235,7221.538605705993,0.0,0.0,283.4655,91.4265,0,0.0,41679.7041405544
01-08-2040 22:00:00,16640.1605480413,2.621604565872004,11194.445447947923,442.277,3627.837,0.0,1659.2725,5182.777596615064,0.0,0.0,271.5325,78.7175,0,0.0,41017.98993900366
01-08-2040 23:00:00,17031.709581841962,4.502320884867136,11194.445447947923,438.538,3314.297,0.0,1655.7075,2633.187587312952,0.0,0.0,274.0455,80.9285,0,0.0,38303.18121627085
02-08-2040 00:00:00,16318.798465052743,2.800720405776302,11194.445447947923,440.30199999999996,2728.849,0.0,1620.594,1376.773012287309,0.0,0.0,278.572,89.001,0,0.0,35500.687585366606
02-08-2040 01:00:00,15293.76135872879,2.002840755293519,11194.445447947923,443.264,1759.4579999999999,0.0,1615.476,1188.4400759770215,0.0,0.0,273.4055,85.0745,0,0.0,33173.87113382796
02-08-2040 02:00:00,13930.13618050983,0.8223045377424607,11194.445447947923,430.702,1352.194,0.0,1607.1825,1278.955011532471,0.0,0.0,281.20799999999997,90.63,0,0.0,31370.006302109032
02-08-2040 03:00:00,12817.757275691802,3.492758878133819,11194.445447947923,436.861,1387.9820000000002,0.0,1609.3915,1327.6224355876311,0.0,0.0,285.089,89.854,0,0.0,30318.521713729944
02-08-2040 04:00:00,11331.312906275089,2.5320466459198547,11194.445447947923,428.029,1575.66,0.0,1606.664,2221.5007890436955,0.0,0.0,288.3575,89.2345,0,0.0,29830.67969388962
02-08-2040 05:00:00,10691.012448221578,4.469754368520901,11194.445447947923,427.211,1655.283,0.0,1609.4714999999999,2962.5640112820147,0.0,0.0,282.661,88.25,0,0.0,29941.625553676404
02-08-2040 06:00:00,10120.445109030916,7.95437161756816,11194.445447947923,429.26199999999994,1747.5529999999999,0.0,1615.2865,5307.599153586374,0.0,0.0,281.111,87.47200000000001,0,0.0,31786.60093964475
02-08-2040 07:00:00,9817.76127718644,608.1796927659586,11194.445447947923,428.37199999999996,2225.276,0.0,1639.9405,6679.635357991499,0.0,0.0,277.8195,88.0115,0,0.0,33990.74154807175
02-08-2040 08:00:00,9120.560105278584,5001.394606244118,11194.445447947923,422.096,2975.8520000000003,0.0,1665.315,5240.442486653499,0.0,0.0,278.824,88.115,0,0.0,37164.490099784234
02-08-2040 09:00:00,7589.1544819915325,11678.149221033093,11194.445447947923,431.476,3705.401,0.0,1664.4370000000001,2088.82201411361,0.0,0.0,263.8915,88.7425,0,0.0,40321.66274508264
02-08-2040 10:00:00,6947.990516661595,17522.60137756131,9356.138587461703,424.685,4038.225,0.0,1653.3065,0.0,0.0,0.0,253.9795,88.2695,0,0.0,42560.6741354478
02-08-2040 11:00:00,6729.326924071763,21755.5808889869,6418.468715692777,422.801,3814.884,0.0,1637.6495000000002,0.0,0.0,0.0,257.70599999999996,87.65799999999999,0,0.0,44097.21453318603
02-08-2040 12:00:00,6488.724849740199,24330.713036032826,4769.504939672931,425.39099999999996,4319.71,0.0,1636.2145,0.0,0.0,0.0,256.296,87.287,0,0.0,45512.75639396211
02-08-2040 13:00:00,6068.866514888483,25563.534795577765,4801.151251466534,424.61699999999996,4722.295999999999,0.0,1617.7245,0.0,0.0,0.0,251.868,86.42200000000001,0,0.0,46810.154374549355
02-08-2040 14:00:00,6106.544379259637,25572.352179878508,4707.616185729251,424.533,4678.888,0.0,1625.6735,0.0,0.0,0.0,254.8575,85.7525,0,0.0,46750.612796172914
02-08-2040 15:00:00,6607.513522599397,24676.71598895341,4384.640644296594,416.465,4737.022,0.0,1613.195,0.0,0.0,0.0,244.231,73.60300000000001,0,0.0,46008.72678299125
02-08-2040 16:00:00,7049.99476683524,22677.986756348604,5299.808088902515,413.468,5019.138,0.0,1609.519,0.0,0.0,0.0,240.8435,73.4575,0,0.0,45596.10351836571
02-08-2040 17:00:00,7583.63735737595,19315.274119614394,7545.629607336328,410.81699999999995,5293.903,0.0,1606.3495,0.0,0.0,0.0,239.7575,72.3805,0,0.0,45221.09223528253
02-08-2040 18:00:00,7992.517865346951,14526.473732078506,11098.34487614111,414.99800000000005,5496.431,0.0,1608.6685,0.0,0.0,0.0,242.67,72.89,0,0.0,44531.65914534655
02-08-2040 19:00:00,8226.361523353067,8356.958892640332,11194.445447947923,410.664,6032.531999999999,0.0,1617.1954999999998,4933.1341025891525,0.0,0.0,246.9665,73.4265,0,0.0,43845.19788926025
02-08-2040 20:00:00,8824.610158302836,2390.1787590865633,11194.445447947923,406.79,5417.763000000001,0.0,1626.2305,10492.347088823031,0.0,0.0,253.3315,82.0815,0,0.0,42995.201329547825
02-08-2040 21:00:00,9008.30661248871,58.23707285615665,11194.445447947923,411.44,5281.8330000000005,0.0,1641.622,13131.116738193678,0.0,0.0,258.467,86.70200000000001,0,0.0,43048.33462381752
02-08-2040 22:00:00,8744.963877780778,3.1263855692386633,11194.445447947923,414.13,5660.569,0.0,1658.9129999999998,12503.964965588797,0.0,0.0,259.455,86.436,0,0.0,42267.234837059805
02-08-2040 23:00:00,8755.284261621488,4.518604143040256,11194.445447947923,406.67,5016.869000000001,0.0,1648.1705,10772.202018677965,0.0,0.0,261.14799999999997,87.725,0,0.0,39575.30651943739
03-08-2040 00:00:00,8434.169946345768,2.9309864711612468,11194.445447947923,417.777,4736.16,0.0,1618.899,8860.17125497685,0.0,0.0,263.4905,88.6635,0,0.0,36864.911094588235
03-08-2040 01:00:00,8167.252978394216,2.222664740630612,11194.445447947923,425.962,4081.203,0.0,1628.6225,7160.346388076012,0.0,0.0,265.1515,88.6785,0,0.0,34139.080286867786
03-08-2040 02:00:00,7712.145393386299,1.7830167699564248,11194.445447947923,423.26,2963.4309999999996,0.0,1620.4115,7126.823419728853,0.0,0.0,264.753,88.571,0,0.0,32459.148998879617
03-08-2040 03:00:00,7204.947713186173,4.258072012270366,6019.32553911021,420.458,2273.294,0.0,1623.9820000000002,12421.006269066977,0.0,0.0,264.6195,88.2165,0,0.0,31343.03660303073
03-08-2040 04:00:00,6502.602294804826,2.4424887259677055,890.2874928819075,415.793,2148.1020000000003,0.0,1626.4095000000002,17976.280470040285,0.0,0.0,264.149,89.006,0,0.0,30868.1815231529
03-08-2040 05:00:00,5713.339472130599,4.420904594001547,849.239735296014,409.86,2258.676,0.0,1630.836,18761.23670512782,0.0,0.0,267.80400000000003,89.101,0,0.0,30943.945244770195
03-08-2040 06:00:00,4817.840722999098,8.100920941126223,679.4164024124358,396.14300000000003,3038.224,0.0,1644.9085,20699.220931144653,0.0,0.0,265.4135,88.1335,0,0.0,32640.62653082872
03-08-2040 07:00:00,4313.378300222884,561.3246173728114,396.07104365506683,384.163,3348.813,0.0,1678.868,22839.133040382498,0.0,0.0,267.193,88.52799999999999,0,0.0,34942.32430910407
03-08-2040 08:00:00,3616.9547754929445,4773.266159238735,381.11431223135327,382.075,3932.744,0.0,1709.2845000000002,21553.074445405928,0.0,0.0,261.847,87.26700000000001,0,0.0,37897.25080865161
03-08-2040 09:00:00,3041.4198163171523,11401.732771915327,2151.134160330224,384.95599999999996,4647.376,0.0,1706.1965,15802.859880710184,0.0,0.0,261.7875,88.1075,0,0.0,41060.774823476815
03-08-2040 10:00:00,2829.8114706790375,17097.91772114822,8577.728908280233,383.889,4953.97,0.0,1688.578,4807.121806436096,0.0,0.0,259.9985,87.4205,0,0.0,43225.908485167194
