Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
18-05-2040 14:00:00,10275.669541453191,13627.445006137306,2672.712205528447,378.74800000000005,5823.06,0.0,0.0,1698.6435000000001,0.0,0.0,0.0,125.32799999999999,18.305,0,0.0,36978.5899701835
18-05-2040 15:00:00,11142.816136744006,12295.520747435108,2244.8840403256054,380.25300000000004,5552.571,0.0,0.0,1701.6605,0.0,0.0,0.0,134.0485,18.8045,0,0.0,35745.660585038524
18-05-2040 16:00:00,12381.556652633519,10457.706596344324,2470.334759536692,374.48199999999997,5472.299,0.0,0.0,1713.0875,0.0,0.0,0.0,135.187,18.421,0,0.0,35058.508542188065
18-05-2040 17:00:00,13621.364688976297,8249.375658573092,3669.1631076227313,371.723,5316.371999999999,0.0,0.0,1717.2904999999998,0.0,0.0,0.0,145.4435,18.6475,0,0.0,34973.92938452497
18-05-2040 18:00:00,14094.617748759274,5680.561645590741,5447.475333223838,379.37,5254.815,0.0,0.0,1707.4075,0.0,0.0,0.0,156.0755,18.7765,0,0.0,34420.967041503616
18-05-2040 19:00:00,14207.791050615804,2849.6933287502607,8119.224376197646,382.94,5228.854,0.0,0.0,1709.3555,0.0,0.0,0.0,156.6515,18.7125,0,0.0,34282.9060342676
18-05-2040 20:00:00,13099.255762403944,730.0109027125682,10953.117806052956,380.94599999999997,6021.3,0.0,0.0,1699.723,0.0,0.0,0.0,159.3005,18.9175,0,0.0,34574.51216239509
18-05-2040 21:00:00,12600.987229631724,27.03983363281743,12768.999206999453,380.417,6477.929,0.0,0.0,1726.7115,0.0,0.0,0.0,161.62,18.930999999999997,0,0.0,35530.13325466688
18-05-2040 22:00:00,12409.841911192465,2.9569382487642657,11553.446792055844,377.09,6983.488,0.0,0.0,1722.8945,0.0,0.0,0.0,163.39700000000002,18.849,0,0.0,34324.38969520764
18-05-2040 23:00:00,12209.395451070974,0.9243538054960563,10532.274420684262,371.94599999999997,5789.781999999999,0.0,0.0,1698.276,0.0,0.0,0.0,156.3865,18.9965,0,0.0,31730.637539989075
19-05-2040 00:00:00,11944.946165184678,0.48205547921030883,10349.63717033301,367.853,4705.673,0.0,0.0,1654.4375,0.0,0.0,0.0,152.959,18.882,0,0.0,30048.782687995794
19-05-2040 01:00:00,11259.729793639564,2.9966954016888274,9308.884294958758,366.394,4884.084,0.0,0.0,1644.9535,0.0,0.0,0.0,142.6845,18.8965,0,0.0,28416.899581156144
19-05-2040 02:00:00,10549.847514996703,0.5764787174061425,8809.271445683857,368.17199999999997,4781.016,0.0,0.0,1646.2735,0.0,0.0,0.0,149.8575,18.8995,0,0.0,27070.97131944924
19-05-2040 03:00:00,10088.087106138812,2.6885774665234754,8949.758285592312,368.931,4345.411,0.0,0.0,1641.7504999999999,0.0,0.0,0.0,158.158,18.852,0,0.0,26300.901429484275
19-05-2040 04:00:00,9640.139927931863,0.9541716701894774,9171.973420927277,371.142,4272.79,0.0,0.0,1646.2655,0.0,0.0,0.0,160.4345,19.1455,0,0.0,26005.50880783371
