month (MWh),Import & export (MWh)
1,0.11620797013068007
2,0.006695325188873128
3,0
4,0
5,0
6,0
7,0
8,0
9,0.008178693851827946
10,0.008351657569458628
11,0.033273358100279905
12,0.02315408184256063
