month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumped hydropower (MWh),Thermal (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,2.0447181424121643,13.969537999916302,1.1789202482501289,0.29615193683934204,2.1948430929518046,0.1973594612536498,0.045148629544160844,1.2417079592188482,5.7909959074199335,0.26796819731612437,0.0,0.2378789142347222,0.08057092223472186,-0.7895895743861714,0.08224684146781729
2,2.342392019567116,12.166416837453585,2.392713673171189,0.3015549999760582,2.3890908534928204,0.2415877543138878,0.05312150942527759,1.127105733708102,3.9365034045648386,0.2560741737498235,0.0,0.21501555216241955,0.07300114616241962,-0.20847259607815533,0.004534299394851823
3,2.7105536388187756,20.07823184240548,2.107215574622541,0.27141260889230834,4.4023644028676925,0.38932102367435173,0.05384051922767839,1.16922580006154,0.5113012160960436,0.2673610644647194,0.0,0.22667721128154275,0.07719093328154288,-3.234077368936599,0
4,3.013086660242135,11.255990057163341,3.324677101533203,0.23789534185361258,4.718400483856086,0.5640164407087112,0.11303089700739936,1.1781243574938218,0.8785470482443092,0.2534704365346617,0.0,0.17832677023593824,0.07762474723593812,-1.1563611998674383,0
5,3.6959344322270713,8.329794880307341,5.126529877167531,0.2916666870779689,3.5230999305233914,0.4300985084063103,0.05322753300617585,1.2105516623864454,2.8398170082116923,0.2670911333033652,0.0,0.14829767359936408,0.03561520059936386,-1.019803847202979,0
6,3.5698249470624592,6.352599261552223,5.72011094480203,0.30499332318636324,3.718032184755912,0.634934231142981,0.053616358317276416,1.2032921460761363,3.1116237088071053,0.2784435821233174,0.0,0.1871621725277235,0.0625557985277234,-0.5595110596032516,0
7,4.231557175095805,6.369205882510354,8.903511721666922,0.3243793888711321,3.0273863106613397,0.41524928053168486,0.02280568044973687,1.2199921215244813,1.4217950366614798,0.3229756472889545,0.0,0.21320391208296952,0.07844227708296951,-0.017528906434771757,0
8,3.9126187068727623,8.06231791075935,7.364870556603153,0.31752930969607074,2.105587826808821,0.24183296295826556,0.028749667846044522,1.1823899267181237,2.8237881485772087,0.33272408039197626,0.0,0.20869842351459494,0.07979500551459484,-0.15956712618913493,0
9,3.4113426347739764,6.451124175399703,4.965306987448026,0.32033504378171523,1.9268267481345125,0.08578088714309433,0.004624783022147331,1.2057411791180004,5.843875861988849,0.3009969006600933,0.0,0.20172164632218262,0.07744088632218264,0,0.008241532345524579
10,2.5939733946753862,11.14368209333156,3.093190875852225,0.29773732826195853,1.462667744678588,0.3762086503671426,0.04618925511310724,1.261510139958429,3.8393346321682267,0.28143525183350127,0.0,0.21352090389361783,0.07858186989361775,-0.27746057753545267,0.007199029973644025
11,1.7664949354050887,11.951030772210434,0.8320692769437568,0.2933198425317468,2.1620009657595243,0.1401553348021182,0.04121546748122734,1.237408750930556,6.063589326975425,0.25118474248311756,0.0,0.20254819669762675,0.0721930156976267,-0.3068195141396422,0.014491008676150283
12,2.004821312930016,11.401661118529349,1.159118281279542,0.300199110704128,2.486663765611238,0.17846480388668554,0.025046015275331814,1.2663416262322233,5.956277665007224,0.2617760184842557,0.0,0.2018068777282,0.08095891072819994,-0.209942855129232,0.009445922785503878
