month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumped hydropower (%),Thermal (%),Batteries (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,7.422975690050899,50.71385577490441,4.279854597927988,1.0751255061133003,7.967976898389184,0.7164774707574725,0.16390385187762688,0.0,4.507793912637115,21.02315275163114,0.9728095883365994,0.0,0.8635759427736864,0.2924980146005691,-2.8664607087956933,0.2985821332219651
2,9.187804759947799,47.72158613796976,9.385186549438949,1.1828201432645375,9.370976391785021,0.9476044575324502,0.20836395149748446,0.0,4.420962562467029,15.44055154555022,1.0044260281048634,0.0,0.843377580318843,0.2863398921230426,-0.8177134717695654,0.017785348146271005
3,8.400989281355967,62.229726090252086,6.53102569245777,0.8412061600532631,13.644524731571735,1.2066471218478017,0.16687130572021383,0.0,3.623855021029002,1.584708000037597,0.8286489537240258,0.0,0.7025549301189176,0.23924271183163326,-10.023579287422761,0.0
4,11.68171374024664,43.639386628288335,12.889747477672193,0.9223184053553548,18.29320228042117,2.1866873900740984,0.43821991583130626,0.0,4.5675790465146635,3.4061201293506547,0.9827029272949371,0.0,0.6913715126771561,0.3009505462734882,-4.483203452267784,0.0
5,14.24157546219346,32.09726918802692,19.754101011168906,1.1238817165178698,13.575590812406162,1.6573022265317585,0.20510210391288503,0.0,4.664628977298128,10.942690938620663,1.0291845269372328,0.0,0.5714366821600912,0.13723635422594957,-3.929618804905284,0.0
6,14.167552560686977,25.211539856900355,22.70138554836697,1.210426001548638,14.755742138896979,2.5198614009630225,0.21278706542675452,0.0,4.775501594111421,12.349090809027027,1.1050581312577281,0.0,0.7427899003397526,0.2482649924743662,-2.22052970741258,0.0
7,15.937765647905271,23.989020239673692,33.534246943051706,1.2217447305841462,11.402368335931694,1.5639977069258026,0.08589546954205858,0.0,4.594986601996635,5.35505847044416,1.216457668767131,0.0,0.8030126606804112,0.29544552449728234,-0.0660209920985236,0.0
8,14.675492335710826,30.240228750013152,27.62423571125832,1.1909923506276827,7.897661471643049,0.9070696789805233,0.10783456343132466,0.0,4.434920856686944,10.59149496456761,1.2479850600115407,0.0,0.7827882919905924,0.2992959650784396,-0.5985060934526183,0.0
9,13.758122350354737,26.01771947436205,20.025341442990946,1.291927899745282,7.770992534887134,0.34595878133327945,0.018651990572258106,0.0,4.862816914392286,23.568655429082817,1.213936162303296,0.0,0.8135538959133188,0.312323124062586,0.0,0.03323852878579168
10,10.507007524790561,45.13799249015078,12.529110697474962,1.2059986254604278,5.92460239999091,1.5238502940750214,0.18709168414528826,0.0,5.109804348938405,15.55140000787431,1.1399663214841773,0.0,0.8648761581423526,0.31829944747281375,-1.1238667219879324,0.02915999919642055
11,7.062247872463973,47.77887553096207,3.326519291430149,1.1726597072842813,8.64343645412088,0.5603252492732189,0.16477479878262852,0.0,4.947020873639606,24.24154746535261,1.0042083210332073,0.0,0.8097648866857364,0.288619548971651,-1.2266298745239392,0.05793342122972526
12,7.916955277610139,45.02468154328437,4.57730947649338,1.1854736970794968,9.819730913587417,0.704750025294486,0.09890566383063196,0.0,5.0007299684999795,23.52109067813788,1.0337425174624741,0.0,0.7969268958704796,0.31970334284927104,-0.8290555293841964,0.03730155289465605
