Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumping turbidity (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
05-06-2050 05:00:00,11563.969773362249,4.7167945655206545,10873.635408274673,414.555,3661.405,0.0,0.0,822.155,0.0,0.0,0.0,202.395,19.459,0,0.0,28149.75736695911
05-06-2050 06:00:00,10193.38071430072,56.349412136865894,13719.044809407924,410.34,4082.8920000000003,0.0,0.0,822.1107499999999,0.0,0.0,0.0,201.408,19.863,0,0.0,30136.048210050456
05-06-2050 07:00:00,9456.778426106092,1113.4786707746018,16232.350346835065,408.74,4432.129,0.0,0.0,834.8892500000001,0.0,0.0,0.0,199.58599999999998,19.944000000000003,0,0.0,33407.91298027634
05-06-2050 08:00:00,8379.02127071388,5310.80603257492,15527.066211953077,406.70599999999996,5133.584,0.0,0.0,839.85725,0.0,0.0,0.0,201.38400000000001,19.453,0,0.0,36623.35203040524
05-06-2050 09:00:00,7290.235362061795,11011.635298633324,11707.145657506255,416.45300000000003,5859.981,0.0,0.0,836.23025,0.0,0.0,0.0,201.328,19.922,0,0.0,38271.75327734871
05-06-2050 10:00:00,7417.758097322066,16971.36301027582,6135.277701970807,422.319,6129.085,0.0,0.0,826.0222500000001,0.0,0.0,0.0,207.5125,27.6125,0,0.0,39228.93495643888
05-06-2050 11:00:00,8492.014178692853,20425.033607503297,1460.1712400504312,427.405,6798.644,0.0,0.0,821.6025,0.0,0.0,0.0,190.753,22.74,0,0.0,39910.13790910136
05-06-2050 12:00:00,8727.825947639036,21653.28060929864,993.387025435366,409.945,6103.384,0.0,0.0,819.925,0.0,0.0,0.0,187.477,19.494,0,0.0,40143.046402353204
05-06-2050 13:00:00,9478.681557632513,22770.85003633801,0.0,423.064,5119.351,0.0,0.0,828.5095,0.0,0.0,0.0,198.86700000000002,20.058,0,0.0,40071.050489927
05-06-2050 14:00:00,9258.476536161077,22106.586083221096,0.0,434.20300000000003,4850.05,0.0,0.0,846.13,0.0,0.0,0.0,193.69299999999998,19.730999999999998,0,0.0,38836.1258275585
05-06-2050 15:00:00,9747.567614894753,20876.47284358919,0.0,433.051,5010.696,0.0,0.0,846.24625,0.0,0.0,0.0,195.043,19.598,0,0.0,38145.95105010964
05-06-2050 16:00:00,11260.708666106912,19361.989971715477,0.0,432.574,4615.771,8.412952916954964,0.0,855.6139999999999,0.0,0.0,0.0,207.2585,29.9275,0,0.0,37769.52894258344
05-06-2050 17:00:00,11579.6209805891,14878.251280217262,1909.320297283144,433.37300000000005,4911.504,1923.1759662822533,0.0,862.977,0.0,0.0,0.0,197.8585,21.9625,0,0.0,37657.65230122116
05-06-2050 18:00:00,12295.283441285612,10549.673069192857,6795.444041314755,437.48699999999997,5023.73,0.0,0.0,869.70675,0.0,0.0,0.0,206.4435,37.2715,0,0.0,37140.116625641516
05-06-2050 19:00:00,12623.962493973448,5676.289328185229,11042.688802007136,432.996,5172.964,0.0,0.0,863.40875,0.0,0.0,0.0,196.583,37.06,0,0.0,36971.14719366208
05-06-2050 20:00:00,12582.375211966317,1892.8948311181193,15271.916951604928,436.974,5258.9259999999995,0.0,0.0,861.581,0.0,0.0,0.0,194.0045,36.4375,0,0.0,37475.51233211902
05-06-2050 21:00:00,11461.939002012725,119.36956937196256,16354.291596700274,437.347,5683.771,0.0,0.0,858.2705000000001,2043.7670408285812,0.0,0.0,187.46400000000003,30.089000000000002,0,0.0,38084.16178585949
