Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumping turbidity (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-10-2050 00:00:00,26320.181884713063,5.613047967168198,0.0,417.277,1065.057,0.0,0.0,806.805,0.0,0.0,0.0,274.5465,82.6365,0.0,0.0,29611.523934583824
01-10-2050 01:00:00,24997.49757965425,2.11089131006529,0.0,414.14099999999996,1073.713,0.0,0.0,810.4947500000001,0.0,0.0,0.0,271.8585,82.5715,0.0,0.0,28243.841681310914
01-10-2050 02:00:00,24265.085124310037,1.4340197069145644,0.0,417.756,887.3710000000001,0.0,0.0,810.345,0.0,0.0,0.0,272.356,82.103,0.0,0.0,27301.72930513824
01-10-2050 03:00:00,23923.767782979103,6.957308989291453,0.0,416.445,864.1389999999999,0.0,0.0,802.073,0.0,0.0,0.0,275.123,82.492,0.0,0.0,26924.647947379315
01-10-2050 04:00:00,23943.5084806557,1.416677604729827,0.0,418.295,740.868,0.0,0.0,805.20025,0.0,0.0,0.0,276.42400000000004,82.939,0.0,0.0,26822.475891738246
01-10-2050 05:00:00,28228.79410074012,8.266773852194799,0.0,420.524,622.0369999999999,0.0,0.0,808.12825,0.0,0.0,0.0,278.285,83.008,0.0,-3665.4782756385684,27358.259426072786
01-10-2050 06:00:00,33029.947654172436,2.6397087256107707,0.0,427.444,1251.364,0.0,0.0,825.7775,0.0,0.0,0.0,277.7215,81.5565,0.0,-6287.584626692311,30260.74934081542
01-10-2050 07:00:00,33266.12908796057,16.93091871741019,0.0,422.191,1887.8829999999998,0.0,0.0,848.0755,0.0,0.0,0.0,280.91700000000003,82.962,0.0,-2918.083195754738,34660.07472924583
01-10-2050 08:00:00,35022.5584730137,1369.9894134759531,0.0,429.20300000000003,2127.065,0.0,0.0,870.5827499999999,0.0,0.0,0.0,275.553,81.288,0.0,-4058.0609543526266,36960.9827750383
01-10-2050 09:00:00,34836.270931360516,10763.543103021686,0.0,432.824,2514.045,0.0,0.0,873.1452499999999,0.0,0.0,0.0,252.9565,80.9245,0.0,-8000.0,38520.11113948857
01-10-2050 10:00:00,35648.54946607136,20512.66048813532,0.0,434.705,1797.612,0.0,0.0,870.77325,0.0,0.0,0.0,252.03900000000002,79.286,0.0,-8000.0,39448.59275462166
01-10-2050 11:00:00,36740.34556222064,26789.339424012138,8612.280152191437,439.111,1662.3929999999998,0.0,0.0,863.5835000000001,0.0,0.0,0.0,262.092,79.892,0.0,-8000.0,40157.423218816344
01-10-2050 12:00:00,35975.6111525418,30853.092160688182,15873.01801466418,431.973,1556.8120000000001,0.0,0.0,860.00625,0.0,0.0,0.0,262.197,80.135,0.0,-8000.0,41212.95165993744
01-10-2050 13:00:00,34902.12297590232,32831.8030882015,16917.325073724613,436.031,1560.79,0.0,0.0,863.5797500000001,0.0,0.0,0.0,263.4565,80.5475,0.0,-8000.0,41587.913719795186
01-10-2050 14:00:00,34525.29898624796,33090.84901448386,16943.92034605844,435.151,1446.993,0.0,0.0,866.72125,0.0,0.0,0.0,261.79400000000004,80.541,0.0,-8000.0,40623.05564653606
01-10-2050 15:00:00,36264.63260106272,30896.725852335814,16860.0034094461,434.395,1243.759,0.0,0.0,867.5025,0.0,0.0,0.0,262.709,80.845,0.0,-8000.0,39943.315087628274
01-10-2050 16:00:00,39017.50975946389,27228.77981064708,17054.28025566408,435.694,970.934,0.0,0.0,867.5039999999999,0.0,0.0,0.0,260.0095,81.2225,0.0,-8000.0,39537.35849147317
01-10-2050 17:00:00,39414.360899382664,20814.86312616683,16005.147211251751,434.256,1243.052,0.0,0.0,861.9085,0.0,0.0,0.0,261.306,81.152,0.0,-8000.0,39541.881745738974
01-10-2050 18:00:00,39000.70984113713,12080.466059181688,13314.398613069206,434.173,1489.1370000000002,0.0,0.0,868.2185000000001,0.0,0.0,0.0,260.9465,79.9285,0.0,-8000.0,38732.00339222534
01-10-2050 19:00:00,38304.749452265474,2240.603375160049,8424.504650402087,435.773,2006.4589999999998,0.0,0.0,873.993,0.0,0.0,0.0,263.45,80.33800000000001,0.0,-8000.0,38657.80880598027
01-10-2050 20:00:00,38810.33004467661,7.479638460767576,4910.835121985088,434.225,2212.998,0.0,0.0,875.8427499999999,0.0,0.0,0.0,266.861,82.633,0.0,-7988.81300221693,41137.32987123123
01-10-2050 21:00:00,38907.0393324514,2.773349124042573,4287.531033594714,435.704,1566.256,0.0,0.0,883.41275,0.0,0.0,0.0,269.1495,83.7705,0.0,-7438.258740253636,40397.72931298925
01-10-2050 22:00:00,38052.40734642212,5.6307391545570304,3209.8037880045886,434.36,1281.048,0.0,0.0,886.45075,0.0,0.0,0.0,270.112,83.68799999999999,0.0,-8000.0,36618.746663121135
