month (MWh),Import & export (MWh)
1,0.00013539336758742503
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0.012450848820930857
10,0.0005351341489376682
11,0.04196418882073583
12,0.005949731710047704
