month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumped hydropower (%),Batteries (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,16.922760740930173,64.47815958623346,11.327841372887436,0.6270930416672077,5.303896306713112,0.7867305702000346,0.5535183813685804,0.0,0.0,0.0,0.0,0.0,0.0,-11.728166198737663,0.0
2,14.14926611872997,66.94176980482088,11.70017876154437,0.433305258333097,6.278795249579021,0.383801998580584,0.11288280841207556,0.0,0.0,0.0,0.0,0.0,0.0,-11.530956089722398,0.0
3,18.600803566904492,50.52433256895843,23.497854075007993,0.44675504066892907,6.258085530445481,0.46549325419610404,0.20667596381856926,0.0,0.0,0.0,0.0,0.0,0.0,-12.401426359442153,0.0
4,22.295144797262964,46.027366266686705,25.327361779475133,0.3742074368456172,4.9390662405595664,0.61924140779267,0.41761207137735723,0.0,0.0,0.0,0.0,0.0,0.0,-12.664990157334742,0.0
5,20.752635409972786,41.77781141624525,32.8396236365485,0.37444796216982007,4.040842817902768,0.15581155165748267,0.058827205503374946,0.0,0.0,0.0,0.0,0.0,0.0,-11.490652961774133,0.0
6,23.488705454585183,29.877847324453047,41.50967605218491,0.469482837083735,4.069609539382605,0.4270096359651581,0.15766915634535766,0.0,0.0,0.0,0.0,0.0,0.0,-11.309944219646779,0.0
7,22.07313020684,28.439065810993302,45.26380647314849,0.45467566318012126,3.0226050663368875,0.5294296276747216,0.21728715182646727,0.0,0.0,0.0,0.0,0.0,0.0,-11.200611005524733,0.0
8,22.716888216863065,35.585031673891734,36.71067410315886,0.5527098708091723,2.8606205436101493,1.0639109773274729,0.5101646143395394,0.0,0.0,0.0,0.0,0.0,0.0,-11.511238323081367,0.0
9,22.41588371364556,37.97228506828399,33.74019990369123,0.6176162320878792,3.234058415457623,1.2237901446855057,0.796166522148215,0.0,0.0,0.0,0.0,0.0,0.0,-11.09575367051786,0.0
10,19.39551853867841,58.05090633383501,15.546406151481301,0.7481353769431581,3.9227867825295935,1.3816076527305141,0.9546391638020189,0.0,0.0,0.0,0.0,0.0,0.0,-11.69563273534563,0.0
11,18.76853930914691,54.82852743530047,18.81948202314577,0.7231958229706036,4.459451063755613,1.4324447790934722,0.968359566587162,0.0,0.0,0.0,0.0,0.0,0.0,-10.67620416673776,0.0
12,17.35040749615635,64.87773905597514,8.549462243878605,0.8538273385157136,4.243338707727006,1.7604814875890977,1.0112443387065588,0.0,1.353499331451522,0.0,0.0,0.0,0.0,-9.929591043443544,0.002444301712556714
