month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumping turbidity (MWh),Thermal (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,3.251298522542121,26.848622717085743,5.0060155203068435,0.29615193683934204,2.1948430929518046,0.4145791215176323,0.07073590021693357,0.0,0.0,0.0,0.0,0.0,0.0,-2.782642748564808,0
2,3.6201976187835605,23.192357947173896,11.278404149937343,0.3015549999760582,2.3890908534928204,0.6564361896773164,0.09245433705109135,0.0,0.0,0.0,0.0,0.0,0.0,-3.2643137438893284,0
3,4.508581406979601,39.655337091621,11.945223679332225,0.27141260889230834,4.4023644028676925,0.05943704464108627,0.011299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-5.6853626036517975,0
4,5.099427194844444,22.255537958744206,16.65956167241566,0.23789534185361258,4.718400483856086,0.5810051734617369,0.06681604576876683,0.0,0.0,0.0,0.0,0.0,0.0,-4.336374366726367,0
5,5.554381209764732,15.562777067353343,24.436905027390686,0.2916666870779689,3.5230999305233914,1.3510214588020493,0.15004251695816792,0.0,0.0,0.0,0.0,0.0,0.0,-3.785602705420162,0
6,5.330169136478776,11.35647985731854,28.228472904844676,0.30499332318636324,3.718032184755912,1.9918293662477584,0.1605902317616019,0.0,0.0,0.0,0.0,0.0,0.0,-3.6238145907844137,0
7,5.667166922945602,9.154998379131806,43.94377888012941,0.3243793888711321,3.0273863106613397,3.5248645724731626,0.2413236328474926,0.0,0.0,0.0,0.0,0.0,0.0,-5.12287296309348,0
8,5.308923769359171,13.41835767965193,35.23866396168989,0.31752930969607074,2.105587826808821,2.440010502820472,0.2107665071891263,0.0,0.0,0.0,0.0,0.0,0.0,-4.221932252741651,0
9,4.059179073584425,10.439842610582954,23.90399364571972,0.32033504378171523,1.9268267481345125,2.2218706286056364,0.2606695270295296,0.0,0.0,0.0,0.0,0.0,0.0,-2.639390869074212,0
10,3.9742866768302916,21.26261935069902,15.154740364727829,0.29773732826195853,1.462667744678588,0.9236509370320315,0.12791576182392017,0.0,0.0,0.0,0.0,0.0,0.0,-3.5439822719790826,0
11,2.7325183897429373,22.879255569802712,3.892241943445415,0.2933198425317468,2.1620009657595243,0.37877267535105014,0.06775512497724756,0.0,0.0,0.0,0.0,0.0,0.0,-2.2709646272038584,0
12,3.167648453561858,21.787914911670565,6.034582465052504,0.300199110704128,2.486663765611238,0.46448073852078176,0.06984618218668205,0.0,0.0,0.0,0.0,0.0,0.0,-2.7529682788786785,0
