month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumped hydropower (MWh),Batteries (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,3.2640774039605525,12.258951720660065,0.8208286722235442,0.3020588499234431,2.554786470377028,0.34475366939474594,0.08724274523678958,0.6492092303196155,4.083644811777938,0.1731027462710746,2.3420799948202906,0.20029884922054528,0.06675664422054539,-1.0730714736591567,0.007422672340010937
2,3.265150653246603,14.928896774241734,0.8416094350188468,0.24560816486684175,3.5589768394600525,0.25205204175921136,0.04876396383471253,0.5775963960101838,1.9851296415898008,0.16014837795312106,2.108214706901081,0.1815837826224701,0.06348653762246992,-3.163495999803412,0.002870334842269203
3,4.540116542167061,12.184979088088799,1.9534513658280606,0.27452660032227855,3.8455323136966797,0.3689088916860147,0.0779602165406782,0.6242636349383921,1.240041270534261,0.16842086279356588,2.32584310035591,0.20766367524412346,0.0720583292441233,-2.621278008722928,0
4,4.8043439136320485,9.771810335497005,1.848648366033354,0.20174312602783914,2.6627548384083504,0.3732356298104743,0.07227707286982006,0.6043910199292319,1.683463720049819,0.15645598590142754,2.0924878956421233,0.16501438619252898,0.04447895319252892,-2.117875403331205,0
5,5.896731382774364,12.027435152820733,3.249087282881753,0.2749516898980895,2.967132081469428,0.4075914989570191,0.11333245950574196,0.6231608589429944,0.5520212688193785,0.16864314581798864,1.5797724866900376,0.2045581410630636,0.06156401706306372,-3.600020832708582,0
6,5.593753578980422,7.129312281008982,3.4919211434106896,0.288126177530715,2.4975589052592153,0.46477480818643935,0.08722083764983636,0.6196867591072508,2.3304266529598703,0.17650087643308013,1.6761378428226783,0.2087142251830835,0.07138329918308357,-1.040392833948234,0
7,5.9775498159009555,7.6170466466915805,4.2872083197360435,0.30993822832348583,2.060415665597045,0.3768472545025994,0.08751297207236225,0.6484314109896597,3.26912296168568,0.21367528970561755,2.142956583245611,0.22522376606114636,0.07502893106114629,-0.34183257520303284,0
8,5.3225884416066185,8.094726059727275,2.9805125702680204,0.31759022288615896,1.6437287698658478,0.357904237691898,0.0969675745646626,0.6120561144304667,2.943151652363752,0.2078446535459483,2.218106252056482,0.2283980821948368,0.07210807819483706,-0.7731286005354819,0
9,4.637944595778217,7.53568643746145,2.301964332888847,0.30737122384546595,1.6095051287536368,0.31393303737909023,0.06342067035234537,0.6455845612377387,3.2943466671015345,0.1857711961573823,2.1773709158148105,0.2154810964210637,0.06813227142106389,-0.7394145750910074,0
10,3.488316138569034,9.736931430736188,0.9055334219987935,0.31470334917122367,1.6501213237513663,0.2725561031487497,0.04527209189843625,0.6642885762297845,4.22722491902894,0.17630472513862647,1.8260837604833504,0.22788834431425334,0.07326223431425323,-0.8219660162483173,0
11,3.447416478719655,9.27751152888792,1.094917275786445,0.306929128598182,1.8926207612794554,0.23171257598863906,0.049650543736211944,0.6388588066780905,4.74299660599132,0.15865327015949868,1.771839572272307,0.21444442813436554,0.07121465013436544,-0.9837915028245294,0.005361901011738464
12,2.5577496850838024,8.938333216642256,0.414002892670254,0.2895576725638804,1.439039516169162,0.14066848455074563,0.022488915789828826,0.6543356141920736,6.978564026749133,0.1671847142523826,2.170636509972321,0.19402735045071376,0.07176291545071369,-0.2877351473517706,0.01788378739907466
