Match demand,Minimize cost,tooltip
14830825.148232896,48.131523298758296,"Generation: 130<br>Type: Minimize curtailments<br>Installed power: 186.85 GW<br>Renewable power: 158.02 GW (251.30 %)<br>Emissions: 16,129.11 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 97.38 GWh<br>Exported energy: -25815.06 GWh<br>Net cost: 14,494.76 M€<br>Dumped energy cost: 533.88 M€<br>Power PV: 26.22 GW (25968.17676018281)<br>Power wind: 84.61 GW (84185.19266034353)<br>Power CSP: 16.12 GW (13814.619307691899)<br>Match demand = 14,830.83 GWh<br>Minimize cost = 4.81 c€/kWh<br>"
14854255.253324468,48.130579420688306,"Generation: 108<br>Type: Minimize curtailments<br>Installed power: 186.87 GW<br>Renewable power: 158.04 GW (251.33 %)<br>Emissions: 16,125.38 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 97.13 GWh<br>Exported energy: -25848.54 GWh<br>Net cost: 14,494.47 M€<br>Dumped energy cost: 534.90 M€<br>Power PV: 26.16 GW (25915.854197500987)<br>Power wind: 84.68 GW (84256.24458249392)<br>Power CSP: 16.12 GW (13814.619307691899)<br>Match demand = 14,854.26 GWh<br>Minimize cost = 4.81 c€/kWh<br>"
14833069.300473357,48.1310194163252,"Generation: 105<br>Type: Minimize curtailments<br>Installed power: 186.85 GW<br>Renewable power: 158.02 GW (251.31 %)<br>Emissions: 16,128.14 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 97.38 GWh<br>Exported energy: -25816.31 GWh<br>Net cost: 14,494.61 M€<br>Dumped energy cost: 533.96 M€<br>Power PV: 26.22 GW (25972.104775998694)<br>Power wind: 84.61 GW (84185.19266034353)<br>Power CSP: 16.12 GW (13814.619307691899)<br>Match demand = 14,833.07 GWh<br>Minimize cost = 4.81 c€/kWh<br>"
14894454.552408215,48.06948724404945,"Generation: 67<br>Type: Minimize curtailments<br>Installed power: 187.16 GW<br>Renewable power: 158.33 GW (251.80 %)<br>Emissions: 16,052.51 Kton CO<sub>2</sub> (75.13 %)<br>Imported energy: 99.23 GWh<br>Exported energy: -25696.69 GWh<br>Net cost: 14,476.08 M€<br>Dumped energy cost: 533.99 M€<br>Power PV: 27.16 GW (26916.87288992396)<br>Power wind: 84.01 GW (83585.85367068487)<br>Power CSP: 16.08 GW (13778.819098442207)<br>Match demand = 14,894.45 GWh<br>Minimize cost = 4.81 c€/kWh<br>"
33859214.23058611,42.10040139944824,"Generation: 5<br>Type: Minimize curtailments<br>Installed power: 211.16 GW<br>Renewable power: 182.33 GW (289.97 %)<br>Emissions: 16,004.97 Kton CO<sub>2</sub> (75.20 %)<br>Imported energy: 75.09 GWh<br>Exported energy: -40289.22 GWh<br>Net cost: 12,678.49 M€<br>Dumped energy cost: 1,209.36 M€<br>Power PV: 47.19 GW (46944.22145481015)<br>Power wind: 101.16 GW (100730.32563870595)<br>Power CSP: 2.91 GW (606.4957207515563)<br>Match demand = 33,859.21 GWh<br>Minimize cost = 4.21 c€/kWh<br>"
13322611.948248124,48.9174209834926,"Generation: 149<br>Type: Minimize curtailments<br>Installed power: 185.48 GW<br>Renewable power: 156.65 GW (249.13 %)<br>Emissions: 16,070.92 Kton CO<sub>2</sub> (75.10 %)<br>Imported energy: 124.27 GWh<br>Exported energy: -22130.76 GWh<br>Net cost: 14,731.43 M€<br>Dumped energy cost: 463.04 M€<br>Power PV: 31.99 GW (31741.287644999145)<br>Power wind: 75.53 GW (75105.72845861778)<br>Power CSP: 18.06 GW (15753.138299041339)<br>Match demand = 13,322.61 GWh<br>Minimize cost = 4.89 c€/kWh<br>"
13389864.299400188,48.90995204531526,"Generation: 149<br>Type: Minimize curtailments<br>Installed power: 185.52 GW<br>Renewable power: 156.69 GW (249.19 %)<br>Emissions: 16,033.44 Kton CO<sub>2</sub> (75.16 %)<br>Imported energy: 120.96 GWh<br>Exported energy: -22458.38 GWh<br>Net cost: 14,729.18 M€<br>Dumped energy cost: 467.01 M€<br>Power PV: 31.23 GW (30980.999473308497)<br>Power wind: 76.33 GW (75904.04208874873)<br>Power CSP: 18.06 GW (15753.138299041339)<br>Match demand = 13,389.86 GWh<br>Minimize cost = 4.89 c€/kWh<br>"
13697860.45909231,48.83441685675961,"Generation: 149<br>Type: Minimize curtailments<br>Installed power: 186.08 GW<br>Renewable power: 157.25 GW (250.08 %)<br>Emissions: 15,905.65 Kton CO<sub>2</sub> (75.35 %)<br>Imported energy: 120.93 GWh<br>Exported energy: -22643.18 GWh<br>Net cost: 14,706.43 M€<br>Dumped energy cost: 477.00 M€<br>Power PV: 31.87 GW (31622.39540907259)<br>Power wind: 76.25 GW (75824.71558952447)<br>Power CSP: 18.06 GW (15753.138299041339)<br>Match demand = 13,697.86 GWh<br>Minimize cost = 4.88 c€/kWh<br>"
12426667.145103348,50.72341709612773,"Generation: 145<br>Type: Minimize curtailments<br>Installed power: 182.37 GW<br>Renewable power: 153.54 GW (244.18 %)<br>Emissions: 16,129.86 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 138.45 GWh<br>Exported energy: -20578.37 GWh<br>Net cost: 15,275.30 M€<br>Dumped energy cost: 434.85 M€<br>Power PV: 27.86 GW (27610.267637213336)<br>Power wind: 72.82 GW (72393.0764025124)<br>Power CSP: 21.79 GW (19485.066685237798)<br>Match demand = 12,426.67 GWh<br>Minimize cost = 5.07 c€/kWh<br>"
13691889.135514276,48.83571523998291,"Generation: 145<br>Type: Minimize curtailments<br>Installed power: 186.07 GW<br>Renewable power: 157.24 GW (250.06 %)<br>Emissions: 15,908.13 Kton CO<sub>2</sub> (75.35 %)<br>Imported energy: 120.97 GWh<br>Exported energy: -22635.97 GWh<br>Net cost: 14,706.83 M€<br>Dumped energy cost: 476.78 M€<br>Power PV: 31.87 GW (31622.39540907259)<br>Power wind: 76.24 GW (75815.2592463337)<br>Power CSP: 18.06 GW (15753.138299041339)<br>Match demand = 13,691.89 GWh<br>Minimize cost = 4.88 c€/kWh<br>"
