month (MWh),Import & export (MWh)
1,0.05553842251069945
2,0.0022702675097647407
3,0
4,0
5,0
6,0
7,0
8,0
9,0.009439836092984617
10,0.01173298582679614
11,0.00735283646585311
12,0.005433354332661482
