month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumping turbidity (%),Thermal (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,8.469388036351177,70.5488614866082,13.16840815578785,0.7777538859441963,5.7640944806891214,1.0868116381289472,0.18468231649048986,0.0,0.0,0.0,0.0,0.0,0.0,-7.306870252272909,0.0
2,8.639763218873824,55.87771626238221,27.19741257772778,0.7261891690304434,5.753285144580352,1.5831157582068827,0.22251786919852518,0.0,0.0,0.0,0.0,0.0,0.0,-7.86288142838851,0.0
3,7.346648634626578,65.19972877197532,19.65699709608978,0.44600328657284855,7.234258571787194,0.09779472588694874,0.018568913061341612,0.0,0.0,0.0,0.0,0.0,0.0,-9.343322435093258,0.0
4,10.189745807419154,44.884139228190506,33.62944446534352,0.4795374115653149,9.511113320365826,1.1709748104878326,0.13504495662784846,0.0,0.0,0.0,0.0,0.0,0.0,-8.740528522067981,0.0
5,10.814290596667574,30.60786647206677,48.11616083453886,0.5734645855875304,6.926992800864379,2.667223117431013,0.29400159284386634,0.0,0.0,0.0,0.0,0.0,0.0,-7.44293387401345,0.0
6,10.324635707413641,22.231608222757625,55.339222667024124,0.5970550826795248,7.278421672589025,3.915207096771729,0.31384955076432586,0.0,0.0,0.0,0.0,0.0,0.0,-7.095305779116768,0.0
7,8.4862976175659,13.884529679603562,66.79197038490139,0.4923374372288905,4.594914685793944,5.383465798684584,0.36648439622173473,0.0,0.0,0.0,0.0,0.0,0.0,-7.775793774523987,0.0
8,8.883299253633128,22.720334138863617,59.77285408713041,0.5378353912720216,3.5664728203304543,4.162365674787863,0.3568386339825109,0.0,0.0,0.0,0.0,0.0,0.0,-7.153719703625535,0.0
9,9.297606751370413,24.19972586878093,55.511163748026426,0.7428087924891241,4.468021460345887,5.176843287644813,0.6038300913424082,0.0,0.0,0.0,0.0,0.0,0.0,-6.1217388648752475,0.0
10,9.11175567552057,49.24094116297027,35.13107956235883,0.6892122184085133,3.385831689258523,2.1452883227484865,0.2958913687347821,0.0,0.0,0.0,0.0,0.0,0.0,-8.203576965514527,0.0
11,8.36323845276789,70.65225721430977,12.030868506537972,0.9052944304593674,6.672741319019467,1.1664819813199943,0.20911809558552985,0.0,0.0,0.0,0.0,0.0,0.0,-7.007051080492848,0.0
12,9.156118995545363,63.542738311185325,17.620418809076664,0.8750397166830104,7.248287817517657,1.354558344570011,0.20283800542196875,0.0,0.0,0.0,0.0,0.0,0.0,-8.029794833993504,0.0
