month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumped hydropower (MWh),Batteries (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,3.1094702515352677,12.000840338950638,0.7118916232387925,0.327384360260706,2.0406470517782123,0.27891926505246445,0.050167800263792035,0.7358189668237409,4.6016095900353395,0.17938226457892917,2.3615268146178154,0.2294724745759535,0.07735311757595341,-0.6026240820295642,0
2,2.887245829732119,12.327215444977643,0.41090147718835734,0.2896050907485976,1.956583876924581,0.2128491202432677,0.042561493529518366,0.6627519120360268,3.277911306437366,0.15549798869629275,2.130495505388087,0.20182193795522346,0.06693502495522335,-1.7622426059070333,0
3,4.394399995410782,11.633713656540493,1.5442167673698608,0.26946251957183454,2.70121862557155,0.5039827917879205,0.13272819510716805,0.7181711271004257,1.5257338736951576,0.167787790067076,2.3550814077876883,0.22093032536286483,0.07171117036286484,-2.023111812485694,0
4,5.186241631100547,10.414035884700912,2.5543949069979828,0.23260002242539585,1.8979671521276198,0.4809168290494663,0.1389485825005234,0.670901238446665,0.8615001648014368,0.16385655248762884,2.2017462872631737,0.18419141949808257,0.05809896649808249,-2.4742375783792685,0
5,5.479117817022222,8.514502786659428,2.877311065911733,0.29861363940267016,1.9354236321208034,0.5013941107119365,0.13701825222290256,0.699095652422803,1.783960426829012,0.1771450251313614,1.8463254821006054,0.18804172167765082,0.04672024467765077,-1.3246587984168257,0
6,5.702968950570724,7.917919496029583,3.6274392542720904,0.3025835479247925,1.6378874196774387,0.29756563870044267,0.056158942752670006,0.6956100510710321,3.290565391550115,0.19130533753160286,1.8031772431611632,0.22481572283957124,0.08044036083957101,-0.8484290046802647,0
7,5.892240302541472,8.33319247418289,3.912237583911569,0.3335373574332082,1.1931005471299618,0.3886082229201051,0.09720721910083838,0.7205296243548682,3.1333717098663065,0.21141077715384557,1.9600005002531968,0.2154961491082313,0.083757400108231,-0.740440806772583,0
8,5.346693407767575,8.311251006641902,3.3515970881126367,0.3163756902492009,1.0827707353747607,0.25483501329310854,0.0524999969438127,0.6784556032116617,4.026677233895132,0.22114473025231896,2.270078218937334,0.23078739361373496,0.08125382461373482,-0.9461637784614784,0
9,4.925957907150499,7.019098376542962,2.939590820538755,0.3095517168522832,1.1478643689556853,0.3701562459050847,0.09805133146519085,0.682758516744898,3.6813503742346936,0.1894770549842623,2.110791960967542,0.2266409689171934,0.0757549269171934,-0.5341590210564495,0
10,4.434118732847337,8.005075469503549,1.8973684121885641,0.3097485457304169,0.7736329537191255,0.26788127179099247,0.05273504566509886,0.7188577176169376,4.694058241213739,0.18485693899127884,1.9225117711867359,0.24141275779887805,0.07912996479887792,-0.44541514643112984,0.0010169874217154575
11,3.5060333685787777,9.90345604374596,1.0648280753677364,0.30766121720488593,0.8326740735614655,0.27487909857757403,0.06452817710395706,0.7333520808651306,5.559798496429136,0.16803973212759757,1.6097515594961338,0.21834310838889312,0.07837543738889285,-0.6415633125714391,0.07305415582040915
12,2.809082924092771,14.36102922834814,0.6068784933595547,0.3129408243039553,1.2508490140911865,0.2979574881570251,0.059148592471375855,0.747820332619153,3.602192777072572,0.17717106904007512,2.2522698425353362,0.23098684778577497,0.08243196078577521,-1.5091977660439944,0.027536503595058784
