month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumped hydropower (%),Batteries (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,11.64400053913575,44.93942056780548,2.6658130724054963,1.225952769767811,7.641589547081017,1.0444660375968247,0.18786283387996053,2.755413544211157,17.231599022633713,0.6717308790579862,8.843184619314727,0.8593031614822353,0.2896634056278627,-2.256640060339502,0.0
2,11.726105671925321,50.06509298926211,1.6688132657924504,1.1761866143419646,7.94636503083343,0.8644540241245986,0.17285697170039838,2.691665141490931,13.312733528495412,0.6315312082011919,8.652680409988,0.8196688162141288,0.27184632763006883,-7.15707779491439,0.0
3,16.747501210810334,44.33725508661159,5.885165712790978,1.026948816109183,10.29461638668924,1.9207292063786676,0.5058405267129482,2.737022536237984,5.814725542456089,0.6394561760973397,8.975452569104206,0.8419877333386504,0.2732984966627825,-7.7102829884837565,0.0
4,20.707362254475555,41.58063371024387,10.199058285868968,0.9287135593294207,7.578106876185379,1.9201802965913377,0.5547868451269309,2.6787404000193673,3.4397541155536424,0.6542381229952061,8.791020782641437,0.73543014749652,0.23197460347236734,-9.879010174129421,0.0
5,22.377748399495868,34.77483191084634,11.751479937157352,1.219594305939276,7.904634383200037,2.047787916449394,0.5596083305339778,2.855238222565027,7.2860301456217025,0.7234936234253821,7.5407407691919115,0.7679977830075981,0.19081427256615505,-5.410155849187503,0.0
6,22.080193516014614,30.655820894669628,14.044362050033616,1.1715131803888026,6.341411201319008,1.152085333651473,0.21743066363874336,2.693194487372429,12.740087005954306,0.7406771648163301,6.981364061027861,0.870419374323206,0.31144106678996125,-3.2848638613165106,0.0
7,22.25612587684749,31.47607211155611,14.777274458768009,1.2598348048471006,4.506570437937963,1.4678480649129964,0.3671703788987355,2.7215790928830184,11.835348121097192,0.798539201808975,7.403299188850788,0.8139704381133283,0.31636782347831754,-2.796787461770213,0.0
8,20.388223722041673,31.692792537399473,12.780443172468203,1.2064163513930193,4.128864385683484,0.9717469970657459,0.20019507412598733,2.587113860625801,15.354685604721078,0.8432778712885635,8.656352452712062,0.8800476583130583,0.30984031216184077,-3.607949310304548,0.0
9,20.717284238635663,29.520482900331018,12.36314636103223,1.3018931597603038,4.827615835802662,1.5567798799072574,0.41237812872747653,2.8715028679438492,15.482792082798401,0.7968906918815514,8.877436195813532,0.9531923458707361,0.3186053114953298,-2.2465324463682506,0.0
10,18.80346808304832,33.94658333755209,8.046042185582598,1.3135297551386191,3.28069305981591,1.1359860318701445,0.22362994943643114,3.0484114124709496,19.90577601469729,0.7839103464918868,8.152665931338536,1.0237427907567411,0.3355611018004884,-1.8888419535500065,0.004312669929974694
11,14.415235850897645,40.71856699625932,4.378095195741271,1.2649648596985474,3.4235821212910738,1.1301794991426763,0.2653109067125337,3.0152146588675253,22.85939641298405,0.6909039693261418,6.618576023677016,0.8977288784675415,0.32224462693466416,-2.6378204345925518,0.3003659050930002
12,10.485268008686612,53.60441268868687,2.265253046468172,1.1680923996738217,4.668956917810934,1.112165145331359,0.22077982785049216,2.791336824771511,13.445653868961278,0.66131409875366,8.406890634776248,0.862188504562482,0.3076880336665539,-5.633277294650555,0.10278358739075032
