month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumped hydropower (%),Batteries (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,3.8239194054285197,38.767620549166324,3.725532456908338,1.160970420448688,8.604191266273862,0.5165230211946924,0.063602737840739,5.841270100235723,26.057838471420254,1.26058193247102,8.929567323495284,0.9325293834724473,0.3158529316440968,-0.4528810566814134,0.0411412222376654
2,4.75076793339684,36.63149815345736,8.07967828820737,1.2583519709391149,9.969382648220016,0.16275138056502347,0.0,5.643928523477187,22.454362852839843,1.282279284125069,8.565140663536193,0.8972334859897001,0.3046248152462681,0.0,0.0
3,4.701491841618652,52.40264666594669,6.331458770107994,0.9999202079626475,16.218896930427647,0.6380177767154822,0.21062726005557852,5.1691003299705285,3.6346693096362412,1.1819925342676445,7.391687648284436,0.8351090436442011,0.28438168136225656,-7.492097497367267,0.0
4,6.454972378952291,35.44479414446626,12.21673381815753,1.0326203181737472,20.480923127569195,0.8273109677582188,0.21422643698193095,6.136590011747837,7.363803455828981,1.3202716158256873,7.396757875063064,0.7740540221810776,0.3369418272941854,-2.5642373489308996,0.0
5,7.502562526421669,26.29040458082097,17.008208982455283,1.2564269606960365,15.176631182266686,0.018106823537894185,0.25956835271044854,6.257703659648243,16.87833514422075,1.380673963998498,7.179127272166904,0.6388291963865351,0.15342135467008722,-2.263628643689649,0.0
6,7.633814623473379,20.83433518010722,20.00222517779668,1.3179203668597974,16.066156103803966,0.1532316777314962,0.12774221240388559,6.239519777134898,18.165460481077993,1.4438341039124472,6.936692739115095,0.8087548819201261,0.2703126746630071,-0.7321891379738364,0.0
7,8.226807295155492,18.865703878949258,28.853219427799452,1.2850733355853816,11.993405123198672,0.0,0.0,5.799798872985217,14.368405513049057,1.5354146654713134,7.9167756019122635,0.8446364715520216,0.3107598143418766,0.0,0.0
8,7.472265744370343,23.302074800684345,23.41355991007296,1.2641278255291135,8.382634546436467,0.0060401567239996,0.029844145186567448,5.648708177851234,18.60415339654605,1.5895443553844169,9.138514947531217,0.8308571091008282,0.3176748845824629,-0.07655248119106456,0.0
9,6.8170532254619856,19.566901345337328,16.918585534995557,1.3575460347958794,8.165687964664558,0.0,0.0,6.131764307936824,28.83319503143055,1.530711635491498,9.495493632613167,0.8548750016991022,0.328186285573537,0.0,0.0
10,5.473982306266237,35.12739218007021,10.629822842047071,1.2905500666358372,6.3399707600661745,0.3145026480583203,0.0322633300087207,6.561657571210824,21.521207079472028,1.4638659591430396,9.97865831091031,0.9255118206260217,0.3406151254852063,-0.03271291992750666,0.0
11,3.5580465411383773,36.22223184936145,2.861953485858157,1.2487291678067487,9.204128992664641,0.346253590150589,0.031929200122116426,6.321516007028662,30.46465609723272,1.2832205761712039,7.287698771419943,0.8622936618262027,0.30734205921919455,-0.030271394118287203,0.0
12,3.9907607034543813,34.22540101939214,3.945687254013585,1.257269607100241,10.414443827789313,0.16817051962587262,0.031410892669568743,6.36430734974502,29.07822897959582,1.315618948248028,8.024444119856275,0.8451912241723085,0.339065554337459,-0.10392596656397653,0.0
