month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumped hydropower (MWh),Batteries (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,0.9754435757265303,9.889232068333925,0.9503460496821513,0.29615193683934204,2.1948430929518046,0.13175985404503038,0.016224421973248953,1.4900495510626186,6.64709384255919,0.3215618367793491,2.2778432692267794,0.23787891423472218,0.08057092223472186,-0.1155254257401438,0.010494714107284118
2,1.1384873685003822,8.778475084792703,1.9362367940573755,0.3015549999760582,2.3890908534928204,0.039002197871364684,0.0,1.35252688044972,5.381026569614795,0.3072890084997884,2.052574360939721,0.21501555216241955,0.07300114616241962,0,0
3,1.2761459927083392,14.22387399635163,1.7185748714794349,0.27141260889230834,4.4023644028676925,0.1731798876740853,0.057171455982474514,1.4030709600738476,0.9865738005227199,0.3208332773576634,2.006357320076156,0.22667721128154275,0.07719093328154288,-2.0336119938801605,0
4,1.487098242907228,8.165781044131988,2.8144943662789377,0.23789534185361258,4.718400483856086,0.1905961194354196,0.04935354317841614,1.4137492289925881,1.6964749866295885,0.3041645238415942,1.704067034443585,0.17832677023593824,0.07762474723593812,-0.5907496782520955,0
5,1.741643267082137,6.103048920392128,3.9482820109927728,0.2916666870779689,3.5230999305233914,0.004203314159923251,0.06025614211860097,1.4526619948637356,3.9181331258439043,0.32050935996403845,1.6665610760406078,0.14829767359936408,0.03561520059936387,-0.5254782712669616,0
6,1.7666184916387186,4.8214848808353254,4.628917862946374,0.30499332318636324,3.718032184755912,0.03546089717097649,0.029562121393624397,1.4439505752913633,4.203853509400937,0.33413229854798077,1.605290443660391,0.1871621725277235,0.0625557985277234,-0.1694433169157901,0
7,2.076618235602481,4.762098259621628,7.28315608594496,0.3243793888711321,3.0273863106613397,0.0,0.0,1.4639905458293803,3.626886085261699,0.38757077674674617,1.9983597515144036,0.21320391208296954,0.07844227708296954,0,0
8,1.8769172988359852,5.8531198954113215,5.88112322633297,0.31752930969607074,2.105587826808821,0.0015171937175142121,0.007496386542708713,1.4188679120617487,4.673074879126634,0.3992688964703716,2.2954532637727962,0.20869842351459494,0.07979500551459484,-0.019228796342605586,0
9,1.6085944693352483,4.617128287714815,3.992215143475697,0.32033504378171523,1.9268267481345125,0.0,0.0,1.4468894149416016,6.8036608380273496,0.3611962807921114,2.2406160016440935,0.2017216463221826,0.07744088632218261,0,0
10,1.2628792241043967,8.104091555136332,2.452361310661257,0.29773732826195853,1.462667744678588,0.07255757105827813,0.007443335927811748,1.5138121679501155,4.965066340678778,0.33772230220020116,2.302133905485881,0.21352090389361783,0.07858186989361773,-0.007547058909735095,0
11,0.8357662158243493,8.508409682512825,0.6722576579832186,0.2933198425317468,2.1620009657595243,0.0813331274365976,0.0074999993540898905,1.4848905011166686,7.155985749030749,0.301421690979741,1.7118416956706481,0.20254819669762675,0.0721930156976267,-0.007110589537671934,0
12,0.9528766204514386,8.17202204800812,0.9421144025770224,0.300199110704128,2.486663765611238,0.04015418821327873,0.007499999994094778,1.5196099514786678,6.943028314077184,0.3141312221811065,1.9160019259765353,0.20180687772819997,0.08095891072819993,-0.02481447301786662,0
