month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumping turbidity (MWh),Thermal (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,3.327817346223534,11.094201719648376,1.1624820039872756,0.29615193683934204,2.1948430929518046,0.318211983556672,0.047793639551070626,1.2417079592188482,6.571484774768747,0.26796819731612437,0.0,0.2378789142347222,0.08057092223472186,-0.19031235756579154,0.11620797013068007
2,3.8068265032389044,9.731535704805676,2.347136893337487,0.3015549999760582,2.3890908534928204,0.31154523227697295,0.06904383338056819,1.127105733708102,4.757890809507773,0.2560741737498235,0.0,0.21501555216241955,0.07300114616241962,-0.1378958548367186,0.006695325188873128
3,4.3418526080763264,15.706814797745169,2.097398823782419,0.27141260889230834,4.4023644028676925,0.6638431291290549,0.11555309030609115,1.16922580006154,0.8567625194040904,0.2673610644647194,0.0,0.22667721128154275,0.07719093328154288,-1.8547320320743446,0
4,4.8166262516877465,8.850441833255134,3.289919443850225,0.23789534185361258,4.718400483856086,0.7634895812651706,0.19021337916941614,1.1781243574938218,1.0405222324685266,0.2534704365346617,0.0,0.17832677023593824,0.07762474723593812,-0.8538334907046649,0
5,5.9372164422202705,6.484635690511768,4.995902832664095,0.2916666870779689,3.5230999305233914,0.6687575648561146,0.12124977227084718,1.2105516623864454,2.3124779610521897,0.2670911333033652,0.0,0.14829767359936408,0.03561520059936386,-0.8051067219266642,0
6,5.862779080954123,5.028646495404497,5.657434069645236,0.30499332318636324,3.718032184755912,0.703079241193397,0.1336135179338722,1.2032921460761363,2.4360067512373256,0.2784435821233174,0.0,0.1871621725277235,0.0625557985277234,-0.6146371646181914,0
7,6.325271839660053,4.766484459838472,8.597027547167677,0.3243793888711321,3.0273863106613397,1.0562729740740766,0.16160003159978448,1.2199921215244813,1.1505722936026654,0.3229756472889545,0.0,0.21320391208296952,0.07844227708296951,-0.42897182422127594,0
8,6.36635200517662,6.378125457762181,7.18762819458855,0.31752930969607074,2.105587826808821,0.42149492635017805,0.06210879866957418,1.1823899267181237,2.21337533692812,0.33272408039197626,0.0,0.20869842351459494,0.07979500551459484,-0.22805615060696657,0
9,5.615510694147246,5.159826222307043,4.81075291570376,0.32033504378171523,1.9268267481345125,0.1595512373987568,0.01719032841145682,1.2057411791180004,5.015441868456761,0.3009969006600933,0.0,0.20172164632218262,0.07744088632218264,-0.0161550981555124,0.008178693851827946
10,4.175374577019253,8.93434426101436,3.0720662671958126,0.29773732826195853,1.462667744678588,0.3850990707194342,0.10450669389294974,1.261510139958429,4.266608332497867,0.28143525183350127,0.0,0.21352090389361783,0.07858186989361775,-0.19504023599358572,0.008351657569458628
11,2.8548104557914704,9.56678524315647,0.8124989637526389,0.2933198425317468,2.1620009657595243,0.20824402346319482,0.031163361710364088,1.237408750930556,7.009908729006923,0.25118474248311756,0.0,0.20254819669762675,0.0721930156976267,-0.04588347233861379,0.033273358100279905
12,3.2128247292289536,9.125911362656813,1.1375600177279774,0.300199110704128,2.486663765611238,0.2617058634876084,0.028293606540891632,1.2663416262322233,6.715075827452074,0.2617760184842557,0.0,0.2018068777282,0.08095891072819994,-0.027859891789682813,0.02315408184256063
