month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumped hydropower (%),Batteries (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,18.244734521750214,57.73104975897588,6.210082151469038,0.8651158825924653,7.317071996783685,1.7068154149861894,1.1159073260225056,0.6197922650034108,5.259307538023313,0.1652591155194153,0.0,0.5736687263743653,0.19119530249951497,-7.935046840382212,0.15075764087642746
2,16.465199885327433,62.668449546064906,6.592588664818291,0.6180922026299782,8.9564442411903,0.5112725174158043,0.3705861017821175,0.48452220475464225,2.581763978613845,0.1343419829308595,0.0,0.456969825184171,0.15976884928763652,-13.461235416549943,0.11775902964231665
3,22.359446989109898,49.474051235942056,13.994349841662842,0.6736569673285976,9.43649771340136,1.2039211676951658,0.7695860145563442,0.5106239208786262,0.7536983898668854,0.13776186294416926,0.0,0.5095829749286201,0.17682292168545952,-13.095285448147342,0.0
4,26.977522652849135,45.382625444980704,15.139299580751024,0.5668220312603034,7.481335973977859,1.3645859681818684,0.9829564584455953,0.566036874608719,0.803690388910307,0.14652742074797767,0.0,0.4636281364843846,0.12496906880208726,-12.880271871735388,0.0
5,26.328317169400172,43.34642590559206,20.48187604602472,0.5927383621576108,6.396516460500256,0.6978341990465368,0.35317658657211126,0.4478015113946109,0.6604235664465397,0.1211864553106429,0.0,0.4409845873093808,0.13271915024537245,-14.325756968643049,0.0
6,28.970331364522004,31.219037103381396,26.697336115013915,0.7644380976764983,6.626364861165118,1.9784192996082492,1.4461491974214196,0.5480378670056374,0.8506554666716322,0.15609364315668636,0.0,0.5537473430020856,0.18938964137533681,-10.597830646669276,0.0
7,27.973219071810217,30.291665782964785,29.905558616301455,0.7582782922109317,5.040902765059742,2.305774095738184,1.2702074239053796,0.5288058694800961,1.016750381165757,0.17425551175372078,0.0,0.5510204198364106,0.18356176977329206,-8.971472734806763,0.0
8,28.13146238209725,36.377496276413225,23.292045197194437,0.8800143119831783,4.554626491190673,2.4347732617097564,1.685800761620455,0.5653177182647855,1.05381468048441,0.1919730275147489,0.0,0.63287080859858,0.19980508292852817,-8.582488147171523,0.0
9,26.944322185206158,38.54327716641605,20.9854649152709,0.9682489791684035,5.070096277670811,2.614277367387999,1.9658709455018266,0.6778845295112277,1.1420824667639635,0.19506572409731224,0.0,0.678786221525665,0.2146232214796929,-8.378968263459969,0.0
10,21.791860016014112,53.27454354670736,8.417753035768174,1.0538151050017701,5.525593485529109,2.2097972557603986,1.4159702965703904,0.7414785358493179,4.363965167190475,0.19679123522046763,0.0,0.763106525954201,0.24532579443421643,-8.200123230436676,0.0
11,20.565212346039267,49.64290029330768,11.01280976972405,1.014246477601552,6.25416020085956,2.4924509039676934,1.729333716189737,0.7037024011779447,5.466467803034419,0.17475643444049443,0.0,0.7086310343691755,0.23532861928841659,-7.696489754776766,0.00017530409887077866
12,16.77028372011979,51.445276832591205,4.096760883419631,1.0425417616481105,5.181208907311083,2.3800438446300842,1.279664308283532,0.7853037794838685,15.861300401579433,0.20064747375310593,0.0,0.6985883466865358,0.25837974049361806,-3.7148362796155627,0.41795678407120307
