month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumping turbidity (%),Thermal (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,6.550824162792378,28.20326879971438,3.6127647317419767,1.1659062241652818,8.64077152575536,0.1443257823542639,0.017189898819962943,9.776839913319145,29.556986264921566,2.1099020486819007,8.967530901900535,0.9364939823250154,0.3171957635082399,0.0,0.011654333053059842
2,8.120170153936673,26.293067073408636,7.736343626293052,1.2583519709391149,9.969382648220018,0.07000599293968901,0.0,9.406547539128665,25.24199989015353,2.1371321402084456,8.565140663536194,0.8972334859897003,0.3046248152462681,0.0,0.0
3,7.737081494648362,38.16131541731508,6.333654543669175,1.0588188663666522,17.174244429546,1.886393502335598,0.3501602589382949,9.122629499051884,7.077160184236012,2.0860264402781636,7.82708287518205,0.8842997709642477,0.30113271746846737,-2.0921472902931386,0.0
4,10.745421810058373,24.92785987682957,11.978445117545741,1.0513556301940763,20.852518067651346,1.4914295412645033,0.3027342283769729,10.413215043799305,7.334530283631245,2.240376532487539,7.530960702849003,0.7880980453045051,0.3430551200078334,-0.7787715121265146,0.0
5,12.134966492498304,17.510731984149047,16.468300069131967,1.2734781930930892,15.38259641016169,1.8003959846231004,0.39820658740438425,10.571047102472965,14.04836582449975,2.332352297329245,7.2765567060736105,0.6474988806820511,0.1555034678807916,-0.9871805653617092,0.0
6,12.454588492246028,14.16370934005264,19.035546668813843,1.3178459844954087,16.06524934288905,1.2718631746186078,0.17550558236157657,10.398612706103991,14.695516457314346,2.40625435846353,6.936301237761942,0.8087092364457553,0.27029741843329,-0.6206830617321973,0.0
7,14.101863988120737,13.534657461688743,27.363190550073668,1.2850733355650155,11.993405123008598,0.0001473240754673403,0.0,9.66633145482215,10.42413443257162,2.5590244424116295,7.916775601786796,0.8446364715386354,0.31075981433695155,0.0,0.0
8,12.818981164870873,16.684699060264858,22.403514941429577,1.2650962881271297,8.389056577394976,0.10351687138819948,0.0,9.42172619492529,15.967210732158641,2.6512702054326924,9.145516066998223,0.8314936381117478,0.3179182588978083,0.0,0.0
9,11.667420311117823,14.034914282295064,16.02577781153047,1.357546034795879,8.165687964664556,0.0,0.0,10.219607179894696,25.299305436663193,2.551186059152497,9.495493632613165,0.8548750016991019,0.32818628557353696,0.0,0.0
10,9.339164010851736,25.293714936246555,10.230862299304125,1.2909725770934488,6.3420463896882495,0.16413286910374839,0.01653219603809249,10.93967629734878,22.693856408960375,2.440575351873738,9.981925202756113,0.925814821984099,0.3407266387509514,0.0,0.0
11,6.069882034568489,26.24786676656599,2.755686287568389,1.2491072899974638,9.206916054509637,0.01735502553669548,0.0,10.539050329175891,33.31489222040448,2.1393485709228073,7.289905527453007,0.862554769179867,0.30743512411727403,0.0,0.0
12,6.81526084359509,24.658687104081448,3.776948435333883,1.2585775960318755,10.425278399132603,0.03105561855439396,0.0,10.618213997770722,31.00271751877662,2.1949794006380463,8.032792276872096,0.8460705111288126,0.3394182980844386,0.0,0.0
