month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumped hydropower (MWh),Batteries (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,5.7840398168754374,19.599026754651334,2.015885482234636,0.327384360260706,2.0406470517782123,0.6598525272725777,0.4438701617180422,0.24527298894124694,1.5731169588600449,0.05979408819297634,0.0,0.2294724745759535,0.0773531175759534,-2.2076067655670335,0.0003081156752323077
2,5.43271119543378,20.246512381725854,1.171189533385966,0.2896050907485976,1.956583876924581,0.48108301607859427,0.31255413491371214,0.2209173040120091,1.4622468563205084,0.05183266289876425,0.0,0.20182193795522346,0.06693502495522335,-3.2850641319314793,0.003525688147350091
3,8.93518130776473,19.344153601165768,4.4920234233312675,0.26946251957183454,2.70121862557155,0.5907680604304407,0.42925037016780565,0.23939037570014216,0.3131005811124137,0.0559292633556921,0.0,0.22093032536286486,0.07171117036286487,-4.484901263296025,0
4,10.693606686842449,17.454977033670193,7.318864457494826,0.23260002242539585,1.8979671521276198,0.4708659186858556,0.28920043676627866,0.22363374614888845,0.2976535309291955,0.054618850829209586,0.0,0.18419141949808257,0.05809896649808248,-5.141565394024438,0
5,10.852062434142226,14.110950837228636,8.330027592470454,0.29861363940267016,1.9354236321208034,0.7203575796710713,0.5252314023660691,0.2330318841409345,0.32179269865251037,0.05904834171045376,0.0,0.18804172167765082,0.04672024467765076,-4.332120171507377,0
6,10.788593120437612,12.848732355894716,10.466917418594994,0.3025835479247925,1.6378874196774387,0.7929414467665433,0.5725924215846435,0.23187001702367713,0.36648233423317095,0.06376844584386755,0.0,0.22481572283957124,0.080440360839571,-3.7093547934892235,0
7,11.272338481380997,13.603261809830274,11.161505192380686,0.3335373574332082,1.1931005471299618,0.8204613505513417,0.6170727948833428,0.2401765414516227,0.4061200679484558,0.07047025905128186,0.0,0.2154961491082313,0.08375740010823102,-3.8830912271288893,0
8,10.136993410486815,13.549126612369246,9.524614401603953,0.3163756902492009,1.0827707353747607,0.6757053385233897,0.4876598925650729,0.22615186773722004,0.8280076827302564,0.07371491008410622,0.0,0.23078739361373493,0.0812538246137348,-3.2284654945089337,0.003736605822891954
9,9.256210779464636,11.413045793878918,8.592718014619262,0.3095517168522832,1.1478643689556853,0.8993212674255661,0.6444631256355976,0.22758617224829905,0.7113612766445945,0.06315901832808749,0.0,0.22664096891719343,0.07575492691719343,-2.663956050390677,0
10,8.05999052958499,12.99230689510958,5.264734619153901,0.3097485457304169,0.7736329537191255,0.7894715087583105,0.6299980236669973,0.23961923920564598,0.9441875958553052,0.0616189796637597,0.0,0.24141275779887805,0.07912996479887795,-2.3167099716123305,0
11,6.851959219560815,16.23130995271976,3.2074468009148407,0.30766121720488593,0.8326740735614655,0.5768486089522443,0.27196124113517456,0.24445069362170993,2.675442043203559,0.05601324404253245,0.0,0.21834310838889312,0.07837543738889284,-2.2097514771059426,0.09167070840712727
12,5.1887257523225205,23.755050605454414,1.7755006887257176,0.3129408243039553,1.2508490140911865,0.5353647949915218,0.3992618277364793,0.24927344420638448,0.9374810486249404,0.0590570230133584,0.0,0.230986847785775,0.08243196078577521,-3.769822007863594,0.021529363796387615
