Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-11-2050 00:00:00,12784.314535633894,0.801675769886397,610.467346749834,363.45300000000003,2760.107,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,32789.66295063784
01-11-2050 01:00:00,13742.527016690621,1.2256389174224722,600.034677193221,361.94599999999997,2262.555,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,30622.77234405925
01-11-2050 02:00:00,14217.417761514755,1.5262673311298713,611.9041814791879,359.029,1500.771,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,28699.629931178286
01-11-2050 03:00:00,15066.69411894154,1.7498115361943472,613.9657269604347,364.119,1407.3770000000002,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27892.387796566807
01-11-2050 04:00:00,16478.52700048472,2.019606266444577,614.7153798627063,363.332,1334.379,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27399.95133358421
01-11-2050 05:00:00,17157.403653778336,2.3125262592876834,600.4719747195461,360.291,1310.476,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27366.002683699513
01-11-2050 06:00:00,18839.931974503936,3.5304567558458633,638.7667438105866,346.467,1236.859,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27729.223363967565
01-11-2050 07:00:00,20133.212993850007,76.26711603130781,595.8491151555379,345.5,1162.589,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,28384.51614022357
01-11-2050 08:00:00,18531.815056462146,4261.739226399543,763.5839520388067,344.22,1419.055,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,29632.443985563194
01-11-2050 09:00:00,16351.252092928407,12248.580543889197,2930.1433106788995,354.366,2373.4139999999998,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,32176.81361151797
01-11-2050 10:00:00,16186.357330244291,17379.937561673007,15403.805364801507,349.19699999999995,2983.1490000000003,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34030.36054920803
01-11-2050 11:00:00,18300.50281701584,21311.59449824269,33623.74432806144,349.45099999999996,2499.8360000000002,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34560.70820173038
01-11-2050 12:00:00,20031.14840374056,22639.508743692593,48944.90046038751,353.13699999999994,1979.5,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34274.41099701593
01-11-2050 13:00:00,22086.690234545473,21626.044110559764,60270.031797154836,351.705,1516.3229999999999,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34368.33773257546
01-11-2050 14:00:00,23165.983875221842,19602.27529684847,77806.1623713927,354.17400000000004,1348.844,0.0,0.0,0,0,0.0,0.0,0.0,0,-1862.2182962221632,34158.96634950082
01-11-2050 15:00:00,26453.16681040877,15802.547983371152,92785.85160673405,357.80199999999996,1337.9460000000001,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,32693.983297644554
01-11-2050 16:00:00,28358.879454026774,10376.891165409523,88749.34555445267,357.216,1297.958,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,31707.228810516903
01-11-2050 17:00:00,28562.292275498552,3344.807147750248,63763.66420604123,356.792,1401.94,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,31441.91069995212
01-11-2050 18:00:00,29960.73475892242,54.38290919758202,26804.589173623077,353.885,2405.437,598.6048408857569,0.0,0,0,0.0,0.0,0.0,0,0.0,33926.363629488595
01-11-2050 19:00:00,33717.87658448213,2.0350231081731613,10515.256318013258,351.889,2355.133,0.0,0.0,0,0,0.0,0.0,0.0,0,-10261.607787752248,35928.1941657881
01-11-2050 20:00:00,35519.32045723029,1.4029325973011946,8109.307799247769,353.731,2266.7,0.0,0.0,0,0,0.0,0.0,0.0,0,-8789.409797479559,36911.38533893543
01-11-2050 21:00:00,37072.01151026564,0.9789694497651193,2439.620428292521,352.709,2421.4210000000003,0.0,0.0,0,0,0.0,0.0,0.0,0,-5416.844572460068,36789.768529543995
