month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumping turbidity (%),Thermal (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,3.808130903080494,29.143021846677346,4.622789613045438,1.165910724167073,8.640804876196878,0.09614371793917151,0.0,9.776877648598544,30.415150379936495,2.109910192186757,8.967565513522194,0.936497596873519,0.31719698777608785,0.0,0.012040344049686966
2,4.69425650438681,27.175222355685754,9.928963679671302,1.2583519709391149,9.969382648220018,0.0,0.0,9.406547539128665,25.663144196987712,2.1371321402084456,8.565140663536194,0.8972334859897003,0.3046248152462681,0.0,0.0
3,4.42668353839937,39.1860869395548,8.075993395879053,1.0616261653445678,17.21977935564623,2.029750916976183,0.27053339136433613,9.14681677912602,7.454761599443104,2.091557225646385,7.847835208233083,0.8866443588083589,0.3019311255785032,-1.968910159789654,0.0
4,6.320401765730801,25.83237047481052,15.45491044744268,1.053559265502209,20.89622482467786,1.2626515724205187,0.20457985162232312,10.435041082185057,7.61491875826086,2.2450723487163344,7.546745552839195,0.789749894240324,0.343774161551317,-0.6775572379017156,0.0
5,6.583421059934661,17.152507764702083,21.082534579117816,1.2761702832574242,15.415114702757771,2.670926529975998,0.26258128992839125,10.593393941300388,14.529428065868588,2.337282811815837,7.291939102760802,0.6488676715868,0.15583219699344728,-0.9725440144995819,0.0
6,6.811889754735481,14.10025770973442,24.31083652342706,1.3155111310155723,16.036786226732843,1.7221632180855315,0.09968581147550816,10.380189280796356,14.819582178357619,2.40199115060136,6.924012057332119,0.8072764304903506,0.2698185272157693,-0.8720722253753399,0.0
7,8.086450029358836,13.955450108158136,34.97203170352217,1.2850733355650175,11.993405123008616,0.0,0.0,9.666331454822163,8.410061915491024,2.5590244424116335,7.916775601786808,0.8446364715386367,0.31075981433695204,0.0,0.0
8,7.38307858578299,17.301404619289258,28.628910311399107,1.265096288127131,8.389056577394985,0.0,0.0,9.421726194925299,14.664529253640753,2.651270205432695,9.145516066998232,0.8314936381117486,0.31791825889780856,0.0,0.0
9,6.701178745448849,14.471507127733162,20.486032319115168,1.357546034795879,8.165687964664555,0.0,0.0,10.219607179894695,25.368699649309384,2.5511860591524966,9.495493632613163,0.8548750016991018,0.3281862855735369,0.0,0.0
10,5.4338230343932885,26.21764510003826,13.099978679779902,1.2909725770934481,6.342046389688246,0.016899500442013146,0.0,10.939676297348774,22.96991640585117,2.4405753518737368,9.981925202756107,0.9258148219840985,0.34072663875095116,0.0,0.0
11,3.5108857724066747,27.081873744366654,3.51796153988671,1.2491072899974647,9.206916054509644,0.004578490989729513,0.0,10.5390503291759,34.29038278699426,2.1393485709228086,7.289905527453012,0.8625547691798676,0.30743512411727425,0.0,0.0
12,3.935714537102841,25.457974259336353,4.833261148055776,1.2585775960318752,10.425278399132601,0.007007779875776074,0.0,10.61821399777072,32.05071179597069,2.1949794006380463,8.032792276872096,0.8460705111288125,0.3394182980844386,0.0,0.0
