Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumping turbidity (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-04-2040 00:00:00,18824.330570613474,0.7480085153046061,3176.5808166550696,338.474,5923.387,2477.3048785150168,0.0,687.57,0.0,0.0,0.0,206.3655,88.4405,0,0.0,29503.019853339316
01-04-2040 01:00:00,19366.587055290067,5.671264561491286,2190.5828288244884,325.474,4888.287,754.6881948982336,0.0,681.8195,0.0,0.0,0.0,207.2565,87.4385,0,0.0,27105.988293739752
01-04-2040 02:00:00,19336.140971797377,0.9044102957773873,1620.7717339558099,325.69599999999997,4722.462,0.0,0.0,682.7695,0.0,0.0,0.0,211.705,86.76,0,-342.7629333998084,25392.48484341152
01-04-2040 03:00:00,19290.483823774513,5.215659374896662,1126.3711922269151,323.27099999999996,4652.835999999999,0.0,0.0,684.7572500000001,0.0,0.0,0.0,208.43200000000002,85.67399999999999,0,-2182.8936994887736,24365.418841763618
01-04-2040 04:00:00,18874.28240614711,0.6528074315385652,933.1578150657259,315.494,4467.273,0.0,0.0,680.16675,0.0,0.0,0.0,205.3225,86.4135,0,-2113.373523445258,23924.65038738945
01-04-2040 05:00:00,17474.987663594176,5.242859684544102,928.6255370710828,314.191,4736.149,0.0,0.0,679.0635000000001,0.0,0.0,0.0,206.9495,87.0985,0,-1090.6708007715606,23840.013199174267
01-04-2040 06:00:00,16888.227265708374,4.107246756763472,560.1276736110478,313.876,4901.278,690.1722536647867,0.0,678.7389999999999,0.0,0.0,0.0,210.687,87.729,0,0.0,24347.561427324457
01-04-2040 07:00:00,17318.134040690864,48.57295295291637,88.66155065022632,312.758,5167.446,642.2538020483407,0.0,681.60525,0.0,0.0,0.0,207.205,88.29700000000001,0,0.0,25016.22999535659
01-04-2040 08:00:00,17936.192615447984,1684.9435813429197,90.96409348686221,313.259,5705.946,0.0,0.0,680.0452499999999,0.0,0.0,0.0,205.2,89.39399999999999,0,-572.5082350408629,25617.674260704178
01-04-2040 09:00:00,17795.997589199993,8068.128647314071,220.28873265127567,319.717,5751.51,0.0,0.0,681.2377499999999,0.0,0.0,0.0,203.7445,91.2915,0,-5748.916133091174,27989.521676673983
