month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumped hydropower (MWh),Thermal (MWh),Batteries (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,2.9415254922237173,13.675910456070175,1.8000827382611901,0.29615193683934204,2.1948430929518046,0.2485998797252645,0.05569104690135402,0.0,0.6208539796094241,5.210056744917197,0.13398409865806232,0.0,0.2378789142347222,0.08057092223472187,-0.7296435633344792,0.11019902867111123
2,3.3121865009291205,11.849993443889437,3.6312875439973493,0.3015549999760582,2.3890908534928204,0.3625472133571107,0.0842876718877049,0.0,0.563552866854051,2.8062164511928422,0.1280370868749118,0.0,0.21501555216241955,0.07300114616241962,-0.26324174518810056,0.005914900395581582
3,3.9131802667128652,19.581395771476274,3.237840174831629,0.27141260889230834,4.4023644028676925,0.479812010692651,0.07994291075179506,0.0,0.58461290003077,0.4530605055147895,0.13368053223235957,0.0,0.22667721128154275,0.07719093328154286,-3.171689755146589,0
4,4.29971856152533,10.806233525481353,5.067705649603582,0.23789534185361258,4.718400483856086,0.8308634338135411,0.16309690210611563,0.0,0.5890621787469109,0.4100810328908258,0.12673521826733078,0.0,0.17832677023593824,0.07762474723593811,-1.4514096006004504,0
5,5.19484637984216,7.847588071282639,7.7701789585895895,0.2916666870779689,3.5230999305233914,0.7895280790941818,0.11157467778569986,0.0,0.6052758311932227,1.6556123790755533,0.13354556665168274,0.0,0.14829767359936408,0.03561520059936387,-1.36720432287435,0
6,5.165208680667987,5.9161253808708425,8.59482852470069,0.30499332318636324,3.718032184755912,0.9201203676639396,0.11060461214890777,0.0,0.6016460730380682,1.4471276373769513,0.13922179106165883,0.0,0.1871621725277235,0.0625557985277234,-0.9711399334489135,0
7,4.831299597957028,4.970924044696513,13.40056669330455,0.3243793888711321,3.0273863106613397,1.9760346313085244,0.2844714760866629,0.0,0.6099960607622407,0.3934550210342086,0.1614878236444773,0.0,0.21320391208296952,0.07844227708296952,-1.4812245057440114,0
8,5.163226090095683,7.197224746818528,11.064583403393184,0.31752930969607074,2.105587826808821,1.0667482979806397,0.1290626063125495,0.0,0.5911949633590619,0.3822605613713826,0.1663620401959879,0.0,0.20869842351459492,0.07979500551459483,-0.7862762693577869,0
9,4.942118934352694,6.2164893231361855,7.384344171567275,0.32033504378171523,1.9268267481345125,0.18037434773437816,0.025710707059939553,0.0,0.6028705895590002,2.98976555816967,0.1504984503300465,0.0,0.2017216463221826,0.07744088632218263,-0.08989402735236582,0.01278616282362623
10,3.6761303679228847,10.809265543039228,4.914547740953474,0.29773732826195853,1.462667744678588,0.5141583987873753,0.08967115823947679,0.0,0.6307550699792145,2.6642525147356677,0.14071762591675038,0.0,0.2135209038936178,0.07858186989361773,-0.46089341015865803,0.011436755709784509
11,2.535450407948536,11.690511832249113,1.2589200054696854,0.2933198425317468,2.1620009657595243,0.1966976750736494,0.0434085260342399,0.0,0.618704375465278,5.77481305134839,0.12559237124155864,0.0,0.20254819669762675,0.07219301569762669,-0.2738813956849321,0.031164995773909337
12,2.843378456062424,11.109309485887263,1.7662838306981288,0.300199110704128,2.486663765611238,0.27867573014291486,0.03987566614710011,0.0,0.6331708131161117,5.373381806960892,0.13088800924212776,0.0,0.2018068777282,0.08095891072819993,-0.13820143881291244,0.023530342897239143
