month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumped hydropower (%),Thermal (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,10.697954320253436,49.7375479946335,6.546672111971733,1.077066950647696,7.982365344306994,0.9041261632279302,0.20254125873557619,2.2579670075842513,18.948314135097565,0.4872831362072272,0.0,0.8651353744722188,0.29302620286188275,-2.653620895434872,0.40077985996600207
2,12.879480313943223,46.078853723399156,14.120308872722482,1.172600541869639,9.290010875640924,1.4097695573597786,0.32775370906236045,2.1913826568875145,10.912009190805907,0.49787387859876847,0.0,0.8360907728144793,0.283865906895771,-1.0236189520146688,0.02300016716524206
3,11.701684600050678,58.55475642042392,9.682197580710831,0.8116121745657735,13.164504629407649,1.4347943191377448,0.23905536261259774,1.748183140826155,1.3547985983091426,0.3997483680106582,0.0,0.6778387530467156,0.2308260528981267,-9.484386262407941,0.0
4,15.632075197306659,39.28718883639092,18.424172340320816,0.8648933226051424,17.154236985334357,3.0206906545665047,0.592955795056993,2.1415969771738657,1.4908923575836257,0.46075910173041135,0.0,0.6483255687860889,0.2822128631446145,-5.276750953353161,0.0
5,18.482505797381393,27.92057385676714,27.64516352323522,1.0377075356336862,12.534675740042008,2.8090257597755928,0.39696643138806653,2.153483133294018,5.890427388424537,0.47513564971468997,0.0,0.5276214947710735,0.1267136895725961,-4.8643135862080795,0.0
6,19.012366324390346,21.776379216414053,31.636287807406905,1.1226351432063355,13.685524491395961,3.3868264718971997,0.40711915691084893,2.214569874212973,5.326661991980152,0.5124547439697399,0.0,0.6889161708962432,0.2302586073192353,-3.5746219191645516,0.0
7,15.959817317021567,16.421055668684687,44.26771555631575,1.0715617367177017,10.000731994893899,6.527674611843151,0.9397290932167505,2.015073893985976,1.2997476415716789,0.5334622935367332,0.0,0.7043023143415469,0.25912787787053654,-4.893108373400496,0.0
8,18.13422497113414,25.27801232198269,38.86090617528832,1.115222892912436,7.39522203396772,3.746621450542925,0.453292243530114,2.076388343311141,1.3425712716314966,0.5842948983694415,0.0,0.7329882707236943,0.2802551266058807,-2.76155072607598,0.0
9,19.75386071992185,24.847573659656863,29.515539429690442,1.2803928684494268,7.701608908983975,0.7209639812236412,0.10276679558285032,2.4096995269591734,11.950220787035454,0.6015487417186574,0.0,0.8062900465513881,0.30953453422627114,-0.3593102714562783,0.05110683957937508
10,14.420718124420045,42.40256898621631,19.27877974614366,1.1679634986420844,5.737750608558823,2.01693971598872,0.35176187116356555,2.4743249448083504,10.451325356284613,0.5520068701017324,0.0,0.8375994484823005,0.30826082918979947,-1.8079919067332013,0.044864086374021
11,10.152294936015743,46.810430092381374,5.040890232485361,1.1744933139423614,8.65695159626529,0.7876047602098531,0.17381375618933675,2.4773780935471645,23.123152049768624,0.5028892659705161,0.0,0.8110310598802987,0.28907084334405847,-1.0966590779153975,0.12478896364311534
12,11.26331692708692,44.006689758042626,6.99668189646908,1.1891620399250904,9.850282864550152,1.1039026696550627,0.15795725839305552,2.5081443245455617,21.28527848025406,0.5184793909183371,0.0,0.7994063600897924,0.32069803007026576,-0.5474496726984662,0.093209438542927
