month (MWh),Import & export (MWh)
1,0.11019902867111123
2,0.005914900395581582
3,0
4,0
5,0
6,0
7,0
8,0
9,0.01278616282362623
10,0.011436755709784509
11,0.031164995773909337
12,0.023530342897239143
