Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
14-01-2040 22:00:00,7200.2452030916775,1.4074300795667396,147.31239433727646,374.292,5041.498,0.0,0.0,830.6375,23815.097491538043,0.0,0.0,290.457,95.01,0.0,0.0,38567.70084023443
14-01-2040 23:00:00,7630.090829130347,1.8741426448116687,141.050256243574,375.899,3916.8509999999997,0.0,0.0,832.9907499999999,21468.74607329762,0.0,0.0,285.937,95.95,0.0,0.0,35414.31394447768
15-01-2040 00:00:00,7645.3021226196215,1.8085111903241005,142.42760631021955,381.827,2905.96,0.0,0.0,820.0545,19127.727578274265,0.0,0.0,268.881,96.51,0.0,0.0,31971.975446360317
15-01-2040 01:00:00,8041.8137074473925,4.8056809452563805,123.96150599809957,384.279,1927.7920000000001,0.0,0.0,817.18425,17091.891527401083,0.0,0.0,276.873,95.323,0.0,0.0,29289.91306657262
15-01-2040 02:00:00,8082.146842437856,2.0345750891146133,110.13995823629598,382.352,1772.895,0.0,0.0,815.7205,15797.410955016134,0.0,0.0,266.231,94.889,0.0,0.0,27823.21541418614
15-01-2040 03:00:00,8485.375342057096,6.774624579883426,114.51224391297312,381.10400000000004,1745.261,0.0,0.0,814.4755,14943.235846667847,0.0,0.0,263.9405,96.2545,0.0,0.0,27339.947020229138
15-01-2040 04:00:00,9568.903098553514,3.9233025015901855,139.57681198623226,383.50800000000004,1741.309,0.0,0.0,812.1775,13881.921383441813,0.0,0.0,268.2255,95.8635,0.0,0.0,27386.404569065544
15-01-2040 05:00:00,9560.675075722978,6.7673321960514725,130.6080208545868,372.79400000000004,1804.38,0.0,0.0,814.11875,14647.206506132727,0.0,0.0,281.553,96.2,0.0,0.0,28225.903550703348
15-01-2040 06:00:00,9965.905200126956,2.530457189687351,197.69778165898464,377.07599999999996,2492.87,0.0,0.0,825.3895,16864.76299707064,0.0,0.0,280.4015,94.9055,0.0,0.0,31702.68392546049
15-01-2040 07:00:00,10218.65845785913,12.127234312536206,298.61269758844526,382.69800000000004,3596.816,0.0,0.0,849.2919999999999,21445.728096758245,0.0,0.0,286.7985,94.7475,0.0,0.0,37934.05891825148
15-01-2040 08:00:00,10608.205232335795,198.0028058051612,341.31054965445736,381.05800000000005,4612.805,0.0,0.0,882.2922500000001,24314.473374090736,0.0,0.0,288.4495,94.0975,0.0,0.0,42548.04877046363
15-01-2040 09:00:00,10673.230347378283,4302.586677073842,371.43607843771633,380.67199999999997,5235.664000000001,0.0,0.0,889.97125,21115.10365554762,0.0,0.0,284.747,94.711,0.0,0.0,44222.93363236534
15-01-2040 10:00:00,9984.383968067203,12005.932799875516,826.5701969718241,379.66,5555.813,0.0,0.0,893.65325,14284.972727858712,0.0,0.0,282.388,93.99,0.0,0.0,45225.40881557944
15-01-2040 11:00:00,10555.907180812594,16809.17808893203,5286.942215120497,375.95,5130.123,0.0,0.0,888.431,4496.496455908081,0.0,0.0,284.316,93.868,0.0,0.0,45106.77093171653
15-01-2040 12:00:00,10994.84846414053,19101.816057091757,6580.745879487211,379.036,4557.593,0.0,0.0,889.22075,0.0,0.0,0.0,281.1155,92.3375,0.0,0.0,44538.836334268315
15-01-2040 13:00:00,12208.64797441352,19172.544887877862,5545.178384639885,374.501,3787.055,0.0,0.0,892.7185000000001,0.0,0.0,0.0,283.939,92.055,0.0,0.0,44186.784690318564
15-01-2040 14:00:00,13775.028811722264,17747.66413380126,4732.895662618392,394.522,2985.007,0.0,0.0,895.4035,0.0,0.0,0.0,287.0995,91.7865,0.0,0.0,42829.27375361131
15-01-2040 15:00:00,14793.486621000515,15328.904387267914,5398.204079111414,401.625,2806.7729999999997,0.0,0.0,896.1260000000001,0.0,0.0,0.0,284.60200000000003,88.301,0.0,0.0,42065.49162276032
15-01-2040 16:00:00,15782.745497977578,10450.226679853697,8849.242830346115,388.44599999999997,2630.085,0.0,0.0,897.965,0.0,0.0,0.0,289.6505,88.1665,0.0,0.0,41552.93528356763
15-01-2040 17:00:00,17446.67323800387,3380.238677624719,14696.033357206914,389.72,2761.759,0.0,0.0,901.092,0.0,0.0,0.0,285.5815,92.9405,0.0,0.0,41887.30955658596
15-01-2040 18:00:00,19916.493619292447,89.81299927432106,17285.317224016744,399.579,3531.046,0.0,0.0,906.59025,0.0,0.0,0.0,284.7395,93.1315,0.0,0.0,43784.22935448786
15-01-2040 19:00:00,22893.357995952487,4.3681379153392585,16005.503641766474,399.406,3971.7459999999996,0.0,0.0,905.2539999999999,0.0,0.0,0.0,281.7165,92.9195,0.0,0.0,45608.54549192567
15-01-2040 20:00:00,24304.756639125004,6.708993125395858,14998.086473364358,399.32099999999997,3965.475,0.0,0.0,903.96625,0.0,0.0,0.0,280.967,92.53299999999999,0.0,0.0,45986.358981090896
15-01-2040 21:00:00,25311.231071562885,1.0355185041371864,13962.976363149151,394.255,3161.758,0.0,0.0,905.0052499999999,72.0023080973915,0.0,0.0,285.04200000000003,92.679,0.0,0.0,45140.48147460385
15-01-2040 22:00:00,26173.986734707232,3.9014253500943306,309.96782778904634,393.36800000000005,2310.861,0.0,0.0,901.97325,10273.65825990612,0.0,0.0,286.18,93.738,0.0,0.0,41577.15745919949
15-01-2040 23:00:00,26172.62067194242,1.560570140037732,318.98466601603997,394.1,1991.158,0.0,0.0,889.01675,6601.702674240794,0.0,0.0,285.3085,95.4275,0.0,0.0,37454.36795903381
16-01-2040 00:00:00,26444.651765216655,1.582447291533588,317.0948135990146,397.23900000000003,1959.6879999999999,0.0,0.0,857.2139999999999,3188.160289237534,0.0,0.0,275.3525,96.0465,0.0,0.0,34151.95674558691
16-01-2040 01:00:00,26784.535037787973,4.273336925523883,173.7863438740799,396.495,1651.983,0.0,0.0,847.13625,861.6345505391062,0.0,0.0,265.0115,95.3355,0.0,0.0,31627.060444344046
16-01-2040 02:00:00,26486.870856597605,1.7537722639662887,0.0,396.14099999999996,1265.806,0.0,0.0,846.94025,0.0,0.0,0.0,261.5295,95.8905,0.0,0.0,29870.090250555724
