Power PV,Power wind,Power CSP,Match demand,Minimize cost
8404.329204542493,38649.590143995745,10899.99275168444,87169.16068301657,59.332018105843545
9487.169078633842,37880.109054429755,11058.085530857134,101648.92978644598,59.303035438353284
15436.975176632972,34417.06124032035,9939.172466652904,119419.02140035194,58.500574452480876
8404.329204542493,38643.810400298615,10914.391721733691,87563.63355883223,59.33663510141691
9056.857130777375,38632.91955011351,10902.814311619019,104397.56414912251,59.17400330831973
9374.755049771778,38783.55657390306,10625.275243298114,105344.88507498971,58.994916657296805
16767.63592289598,34455.49682237053,8998.049441887857,120964.43649844968,57.95415267924119
8404.329204542493,38643.810400298615,10899.99275168444,87026.04578515296,59.33362097275737
9056.857130777375,38632.414933022075,10899.99275168444,104267.85326313462,59.17356067321211
9124.281408992565,38624.58922645131,10929.57658779491,107171.3451713308,59.164629036154295
17252.948585817838,34962.31773324486,8404.440098194127,123533.95444273959,57.567398069873555
9570.597255908335,37377.53803804291,11062.026659860941,91188.678870643,59.42011308988913
8862.697705341816,37447.613170975026,11647.611496632715,96598.51794056126,59.70162143144836
16778.91556886314,34455.49682237053,8998.049441887857,121258.35521804003,57.95126192671505
9784.69122890033,37747.17713940351,10926.733360068341,101310.61608658372,59.237255945505176
8862.697705341816,37539.94057939399,11328.778988489004,87823.88540692514,59.610142608519624
9570.597255908335,37185.390208606696,11209.239814684555,91297.18318487544,59.50359736250937
10117.46482425602,37538.35951098007,10926.733360068341,104909.45096546231,59.21016935154222
16808.44157863009,34425.74637452637,8998.049441887857,121321.32977917463,57.95185768533947
9124.281408992565,38508.04740799692,10899.99275168444,102987.13919209913,59.19050109373051
14768.413844419236,34963.41905401942,9832.007407671495,112265.84243677759,58.50135389968256
14593.471823591282,35031.08923779342,9873.679582960958,111249.64874008486,58.53605885936406
15436.975176632972,34417.06124032035,9841.351845091012,115407.98393335228,58.48037517940011
17292.070395062212,34962.31773324486,8404.440098194127,124820.70344820424,57.557443111489384
9570.597255908335,38247.230650289246,10926.733360068341,109855.66239493858,59.1550638528918
16808.44157863009,34681.81443459281,8998.049441887857,127924.16120598184,57.88244718611428
8862.697705341816,37957.21945748749,11325.94199861231,97748.34421243086,59.49560713554135
9124.281408992565,38632.414933022075,10899.99275168444,106146.57452238287,59.156438633576215
9146.378839061901,37783.051250619406,11328.778988489004,100859.84684012616,59.47173571783088
17256.6065421126,34962.31773324486,8404.440098194127,123654.26768272588,57.566468075331606
