Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-11-2030 00:00:00,3263.27486640703,0.6350744909726596,29.8010936773655,363.45300000000003,2760.107,0.0,2331.3140500000004,16848.712915044558,0,2708.0741999437964,260.125,69.658,0.0,0,29676.707580028953
01-11-2030 01:00:00,3507.8644920294487,0.9709311929293545,29.291803599170652,361.94599999999997,2262.555,0.0,2322.9024,15233.104801527114,0,2707.7952981593367,261.1875,70.0395,0.0,0,27715.535274410802
01-11-2030 02:00:00,3629.0832736508187,1.209084127044102,29.871235424661798,359.029,1500.771,0.0,2322.775,14191.193587922331,0,2706.9831754952934,258.971,68.547,0.0,0,25974.970416890377
01-11-2030 03:00:00,3845.866284120384,1.3861722062576318,29.971873583826046,364.119,1407.3770000000002,0.0,2318.0872,13358.380081446505,0,2708.178341154981,260.5535,68.2595,0.0,0,25244.365506092498
01-11-2030 04:00:00,4206.24530522982,1.5998991984118924,30.008469278067594,363.332,1334.379,0.0,2309.66255,12636.468936547846,0,2707.820774764648,262.6725,69.8505,0.0,0,24798.67953073866
01-11-2030 05:00:00,4379.532743825661,1.8319456470365179,29.31315108747822,360.291,1310.476,0.0,2305.8841,12455.580982443376,0,2707.743004074751,260.3025,67.8395,0.0,0,24767.95386707809
01-11-2030 06:00:00,4809.008439666684,2.7967703544757505,31.182581134983852,346.467,1236.859,0.0,2291.8987,12407.400875104982,0,2707.508798089082,260.1405,66.4255,0.0,0,25096.691430851206
01-11-2030 07:00:00,5139.126369249058,60.41756743926436,29.087477639655354,345.5,1162.589,0.0,2303.48105,12624.952706307377,0,2706.813778417873,263.8515,69.0185,0.0,0,25689.772614074423
01-11-2030 08:00:00,4730.359702438106,3376.0804199526187,37.27576422620123,344.22,1419.055,0.0,2311.6535,10444.809966517896,0,2705.9971861739496,254.889,69.444,0.0,0,26819.225814092722
01-11-2030 09:00:00,4173.757602756987,9703.126059492053,143.0403702254555,354.366,2373.4139999999998,0.0,2292.8581000000004,5755.173165247228,0,2705.2056235773503,255.108,69.67699999999999,0.0,0,29122.040377287216
01-11-2030 10:00:00,4131.667201025288,13768.103533527263,751.9652756340972,349.19699999999995,2983.1490000000003,0.0,2288.4953,1926.3705692255928,0,2702.7764069130253,256.665,67.288,0.0,0,30799.61695190754
01-11-2030 11:00:00,4598.748881415581,16620.432438975477,0.0,349.45099999999996,2499.8360000000002,0.0,2291.72645,0.0,0,2703.095087958409,262.8395,66.5935,0.0,0,31279.61493857042
01-11-2030 12:00:00,4708.999093826604,16517.315315890166,0.0,353.13699999999994,1979.5,0.0,2276.9506499999998,0.0,0,2701.7005790361104,265.55400000000003,68.733,0.0,0,31020.49795898813
01-11-2030 13:00:00,5342.335437446852,16234.065722688383,0.0,351.705,1516.3229999999999,0.0,2270.8725,0.0,0,2697.644882253758,266.4775,68.6985,0.0,0,31105.50756306194
01-11-2030 14:00:00,5876.938976941575,15433.222522946748,0.0,354.17400000000004,1348.844,0.0,2282.52245,0.0,0,2697.2461957285373,256.83,68.778,0.0,0,30916.013291026087
01-11-2030 15:00:00,6752.333427706869,12518.521194712675,0.0,357.80199999999996,1337.9460000000001,585.2419142024964,2260.01165,0.0,0,2697.648010959674,256.5305,69.8095,0.0,0,29590.11147541162
01-11-2030 16:00:00,7238.778293810468,8220.404211150106,1585.7918390195828,357.216,1297.958,2060.3986742789893,2256.0174,0.0,0,2697.8178549950826,263.1455,69.6325,0.0,0,28697.036593493704
01-11-2030 17:00:00,7290.700666806189,2649.701757931659,4715.686774749532,356.792,1401.94,0.0,2268.4454,4460.283045673538,0,2699.733963889279,265.2425,70.1445,0.0,0,28456.90701379141
01-11-2030 18:00:00,7647.661706489078,43.08125513280878,4715.686774749532,353.885,2405.437,0.0,2296.11135,8392.27417572361,0,2700.7521341857523,266.4595,69.3965,0.0,0,30705.493197711483
01-11-2030 19:00:00,8606.695251439925,1.6121121693921356,4715.686774749532,351.889,2355.133,0.0,2302.1686999999997,9513.434399371054,0,2700.894713783898,269.418,69.096,0.0,0,32517.27575674438
01-11-2030 20:00:00,9066.524872871447,1.111380359202154,4715.686774749532,353.731,2266.7,0.0,2325.72795,10041.838609043516,0,2700.879070254321,270.361,68.53699999999999,0.0,0,33407.12561536245
01-11-2030 21:00:00,9462.85880806542,0.7755236572454592,2829.431075804571,352.709,2421.4210000000003,0.0,2329.0917,11427.274874811596,0,2701.5356515385697,271.8725,69.3825,0.0,0,33297.05475264699
01-11-2030 22:00:00,9925.737887823181,0.6839263748936332,59.18743615332682,355.11800000000005,2080.152,0.0,2321.2254000000003,12865.213309890552,0,2701.6889581284245,270.5975,69.7485,0.0,0,31915.53517539498
01-11-2030 23:00:00,10479.806742833842,0.5984355780319293,59.61133627829139,350.272,1448.22,0.0,2295.3008,11031.960673599107,0,2700.5849718982718,262.0185,65.1315,0.0,0,29811.462097977663
02-11-2030 00:00:00,10428.693151451396,0.6778198894035116,59.760768696444366,350.47,1065.445,0.0,2263.0523500000004,9239.028811810967,0,2702.4139239848246,250.13400000000001,65.126,0.0,0,27427.043085344627
02-11-2030 01:00:00,10483.9533310007,0.891546881557772,61.27644036628172,347.48400000000004,954.313,0.0,2268.8926,7465.750871763647,0,2701.8739987354224,246.95,65.291,0.0,0,25524.360733737714
02-11-2030 02:00:00,10387.836317502035,1.044209018810815,61.51431237885177,349.19199999999995,953.118,0.0,2272.0828,6287.935155307742,0,2701.827515104679,252.96099999999998,65.126,0.0,0,24214.843084008546
02-11-2030 03:00:00,10228.829852331604,0.9281857944985024,59.89495290866337,345.189,921.941,0.0,2270.97195,5986.159062157448,0,2702.1296587045103,252.074,64.086,0.0,0,23695.34502046263
02-11-2030 04:00:00,9954.74431291712,0.757204200775094,60.29445590413358,343.131,883.105,0.0,2268.2458500000002,6200.8527948634855,0,2701.618785724322,252.8325,65.6785,0.0,0,23598.25423067502
02-11-2030 05:00:00,9224.11772843954,0.8793339105775286,60.449987604660144,339.655,1153.649,0.0,2264.90875,7164.0604909475,0,2701.7774558100323,250.7435,64.8415,0.0,0,24132.236056823
