month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumped hydropower (MWh),Batteries (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,2.9461158106336627,19.140442639197268,1.7179360872864737,0.29615193683934204,2.1948430929518046,0.23974136128530615,0.16466464897449426,0.6208539796094241,3.6287352365062753,0.13398409865806232,0.0,0.2378789142347222,0.08057092223472187,-2.490575707721753,0.10146834119015938
2,3.2718451084128994,16.590606425407422,3.4289556248190647,0.3015549999760582,2.3890908534928204,0.48540612131740685,0.1789989997725522,0.563552866854051,1.31321903809279,0.1280370868749118,0.0,0.21501555216241955,0.07300114616241962,-1.2267979732265466,0
3,3.930017423274994,28.133653331315042,3.214822283136619,0.27141260889230834,4.4023644028676925,0.20060890971459452,0.057649225855449994,0.58461290003077,0.29140475737857463,0.13368053223235957,0.0,0.22667721128154275,0.07719093328154286,-6.880423658916527,0
4,4.327952925930416,15.813157974570803,4.849080632497667,0.23789534185361258,4.718400483856086,0.6162860503780946,0.31165947615436856,0.5890621787469109,0.44965376626858744,0.12673521826733078,0.0,0.17832677023593824,0.07762474723593811,-3.5081511993459866,0
5,5.204251797708262,11.805546098094823,7.390043221513302,0.2916666870779689,3.5230999305233914,0.5398223475111616,0.22056449632381514,0.6052758311932227,1.5881671823716053,0.13354556665168274,0.0,0.14829767359936408,0.03561520059936387,-2.498786121024949,0
6,5.192827929915385,9.291445571039908,8.209728532427581,0.30499332318636324,3.718032184755912,0.6529668248594603,0.22149669664923533,0.6016460730380682,1.3168687094574056,0.13922179106165883,0.0,0.1871621725277235,0.0625557985277234,-1.4134817657616174,0
7,5.476713373204129,8.265807686767355,12.844868128053495,0.3243793888711321,3.0273863106613397,2.0801384947565507,0.6830207023129784,0.6099960607622407,0.37377711399193136,0.1614878236444773,0.0,0.21320391208296952,0.07844227708296952,-0.7098767983013206,0
8,5.286297598105991,10.870683199235643,10.41490028788182,0.31752930969607074,2.105587826808821,1.1268669295662965,0.33049414460211707,0.5911949633590619,0.42241182208888906,0.1663620401959879,0.0,0.20869842351459492,0.07979500551459483,-0.8385847359839638,0
9,4.7619691625620675,8.762169385324514,7.156020869149527,0.32033504378171523,1.9268267481345125,0.30379353978661605,0.07104427247008521,0.6028705895590002,2.739267504468044,0.1504984503300465,0.0,0.2017216463221826,0.07744088632218263,-0.35283534037611997,0.019409969071871997
10,3.6240103465073683,15.409638738649257,4.699858093054522,0.29773732826195853,1.462667744678588,0.4779237671713907,0.24547689632041916,0.6307550699792145,1.6348994837261788,0.14071762591675038,0.0,0.2135209038936178,0.07858186989361773,-1.8560353291491836,0.018715840330807285
11,2.4464321961352766,16.288338051646118,1.1312704062127545,0.2933198425317468,2.1620009657595243,0.3372875435805463,0.11207993494175197,0.618704375465278,3.7662891057609844,0.12559237124155864,0.0,0.20254819669762675,0.07219301569762669,-1.2339672410523603,0.02876672015260094
12,2.7517525911600504,15.535213226453147,1.7371071090016768,0.300199110704128,2.486663765611238,0.30791491074638766,0.1779715424268008,0.6331708131161117,3.563947661465038,0.13088800924212776,0.0,0.2018068777282,0.08095891072819993,-1.2718894572578447,0.02048888398173562
